text,bbox
530,"[[56. 11.]
 [76. 11.]
 [76. 24.]
 [56. 24.]]"
sxcusm,"[[ 76.  11.]
 [117.  11.]
 [117.  24.]
 [ 76.  24.]]"
nz,"[[23. 13.]
 [38. 13.]
 [38. 21.]
 [23. 21.]]"
00,"[[38. 13.]
 [49. 13.]
 [49. 21.]
 [38. 21.]]"
s9900,"[[38. 27.]
 [96. 27.]
 [96. 52.]
 [38. 52.]]"
crafteman,"[[12. 56.]
 [56. 56.]
 [56. 64.]
 [12. 64.]]"
vzo,"[[58. 56.]
 [74. 56.]
 [74. 63.]
 [58. 63.]]"
ltnium,"[[ 75.  56.]
 [107.  56.]
 [107.  64.]
 [ 75.  64.]]"
on,"[[109.  57.]
 [123.  57.]
 [123.  64.]
 [109.  64.]]"
dnlidnver,"[[12. 64.]
 [57. 64.]
 [57. 72.]
 [12. 72.]]"
combe,"[[58. 65.]
 [85. 65.]
 [85. 72.]
 [58. 72.]]"
ki,"[[ 85.  64.]
 [101.  64.]
 [101.  73.]
 [ 85.  73.]]"
los,"[[11. 72.]
 [26. 72.]
 [26. 80.]
 [11. 80.]]"
pa,"[[26. 73.]
 [39. 73.]
 [39. 80.]
 [26. 80.]]"
2a,"[[49. 72.]
 [65. 72.]
 [65. 80.]
 [49. 80.]]"
pe,"[[64. 72.]
 [76. 72.]
 [76. 80.]
 [64. 80.]]"
or,"[[40. 74.]
 [49. 74.]
 [49. 80.]
 [40. 80.]]"
cchanic,"[[19. 80.]
 [52. 80.]
 [52. 88.]
 [19. 88.]]"
tcol,"[[57. 81.]
 [75. 81.]
 [75. 88.]
 [57. 88.]]"
set,"[[76. 81.]
 [90. 81.]
 [90. 88.]
 [76. 88.]]"
