text,bbox
rug,"[[30. 10.]
 [45. 10.]
 [45. 17.]
 [30. 17.]]"
lass,"[[46. 10.]
 [74. 10.]
 [74. 17.]
 [46. 17.]]"
sale,"[[50. 22.]
 [74. 22.]
 [74. 29.]
 [50. 29.]]"
s13996,"[[ 16.042183  31.87896 ]
 [101.161766  33.02922 ]
 [100.82618   57.862526]
 [ 15.706594  56.712265]]"
od,"[[71. 59.]
 [83. 59.]
 [83. 68.]
 [71. 68.]]"
bos,"[[ 84.  60.]
 [100.  60.]
 [100.  67.]
 [ 84.  67.]]"
ate,"[[13.07692  60.61538 ]
 [38.276924 62.015373]
 [37.864616 69.43691 ]
 [12.664614 68.03692 ]]"
tonwe,"[[47. 61.]
 [73. 61.]
 [73. 68.]
 [47. 68.]]"
pellet,"[[35. 66.]
 [59. 66.]
 [59. 75.]
 [35. 75.]]"
nooa,"[[14. 68.]
 [35. 68.]
 [35. 75.]
 [14. 75.]]"
gnin,"[[59. 68.]
 [76. 68.]
 [76. 75.]
 [59. 75.]]"
