text,bbox
san,"[[22. 15.]
 [35. 15.]
 [35. 20.]
 [22. 20.]]"
550,"[[51. 14.]
 [72. 14.]
 [72. 27.]
 [51. 27.]]"
icwins,"[[ 70.  14.]
 [114.  14.]
 [114.  27.]
 [ 70.  27.]]"
7d,"[[20. 20.]
 [36. 20.]
 [36. 27.]
 [20. 27.]]"
0o,"[[35. 20.]
 [45. 20.]
 [45. 27.]
 [35. 27.]]"
s17900,"[[27.05539  29.843079]
 [95.244934 31.03939 ]
 [94.846466 53.7517  ]
 [26.656923 52.55539 ]]"
silwaulee,"[[ 8.       61.      ]
 [50.999992 61.      ]
 [50.999992 68.      ]
 [ 8.       68.      ]]"
mis,"[[55. 60.]
 [73. 60.]
 [73. 69.]
 [55. 69.]]"
redlithium,"[[ 7. 68.]
 [62. 68.]
 [62. 77.]
 [ 7. 77.]]"
brushles,"[[ 65.  69.]
 [105.  69.]
 [105.  77.]
 [ 65.  77.]]"
dall,"[[43. 76.]
 [61. 76.]
 [61. 85.]
 [43. 85.]]"
commpc,"[[ 7. 78.]
 [42. 78.]
 [42. 86.]
 [ 7. 86.]]"
impuct,"[[68. 77.]
 [98. 77.]
 [98. 86.]
 [68. 86.]]"
driver,"[[ 8. 86.]
 [33. 86.]
 [33. 93.]
 [ 8. 93.]]"
kt,"[[34. 86.]
 [46. 86.]
 [46. 93.]
 [34. 93.]]"
