text,bbox
choice,"[[ 63.   7.]
 [108.   7.]
 [108.  20.]
 [ 63.  20.]]"
your,"[[29.  8.]
 [63.  8.]
 [63. 20.]
 [29. 20.]]"
soiaum,"[[ 52.  21.]
 [116.  21.]
 [116.  35.]
 [ 52.  35.]]"
meaoo,"[[20. 24.]
 [45. 24.]
 [45. 32.]
 [20. 32.]]"
s14900,"[[29. 38.]
 [98. 38.]
 [98. 60.]
 [29. 60.]]"
mloa,"[[31. 68.]
 [52. 68.]
 [52. 75.]
 [31. 75.]]"
mae,"[[56. 67.]
 [76. 67.]
 [76. 75.]
 [56. 75.]]"
conpaet,"[[ 77.03884   67.834625]
 [112.199776  69.00665 ]
 [111.93563   76.93118 ]
 [ 76.7747    75.759155]]"
dtally,"[[113.  67.]
 [135.  67.]
 [135.  75.]
 [113.  75.]]"
combo,"[[ 96.  74.]
 [125.  74.]
 [125.  83.]
 [ 96.  83.]]"
impuce,"[[40.80032  77.00798 ]
 [69.953674 75.84184 ]
 [70.29872  84.46805 ]
 [41.145367 85.634186]]"
dinver,"[[71. 76.]
 [96. 76.]
 [96. 83.]
 [71. 83.]]"
dnver,"[[43.06907  83.68785 ]
 [69.259674 85.0663  ]
 [68.86188  92.62431 ]
 [42.671276 91.245865]]"
kit,"[[69. 83.]
 [83. 83.]
 [83. 92.]
 [69. 92.]]"
impact,"[[ 93.046326  83.84184 ]
 [122.239624  85.00958 ]
 [121.892975  93.67572 ]
 [ 92.69968   92.50798 ]]"
or,"[[83. 85.]
 [92. 85.]
 [92. 92.]
 [83. 92.]]"
