text,bbox
your,"[[11.  7.]
 [45.  7.]
 [45. 20.]
 [11. 20.]]"
choice,"[[46.  7.]
 [91.  7.]
 [91. 20.]
 [46. 20.]]"
sale,"[[35. 21.]
 [61. 21.]
 [61. 30.]
 [35. 30.]]"
1699,"[[18. 33.]
 [72. 33.]
 [72. 56.]
 [18. 56.]]"
sc,"[[56. 49.]
 [69. 49.]
 [69. 56.]
 [56. 56.]]"
platunun,"[[11. 62.]
 [47. 62.]
 [47. 70.]
 [11. 70.]]"
led,"[[48. 62.]
 [65. 62.]
 [65. 70.]
 [48. 70.]]"
twinkling,"[[10.094593 68.067566]
 [52.308727 69.429306]
 [51.961536 80.19231 ]
 [ 9.747401 78.83057 ]]"
shimines,"[[53. 71.]
 [90. 71.]
 [90. 79.]
 [53. 79.]]"
sphere,"[[10.405941 80.05941 ]
 [38.623764 77.23763 ]
 [39.50495  86.04951 ]
 [11.287128 88.871284]]"
