text,bbox
520,"[[59. 16.]
 [80. 16.]
 [80. 28.]
 [59. 28.]]"
excusve,"[[ 78.999985  16.      ]
 [121.999985  16.      ]
 [121.999985  28.      ]
 [ 78.999985  28.      ]]"
dee,"[[ 90.  17.]
 [104.  17.]
 [104.  22.]
 [ 90.  22.]]"
s7999,"[[41. 33.]
 [98. 33.]
 [98. 55.]
 [41. 55.]]"
wetner,"[[16.059853 61.802994]
 [47.23192  63.361603]
 [46.84289  71.14215 ]
 [15.670824 69.58354 ]]"
250,"[[83. 61.]
 [99. 61.]
 [99. 71.]
 [83. 71.]]"
tbergless,"[[ 57.117645  61.470573]
 [107.89412   65.37646 ]
 [106.67059   81.28234 ]
 [ 55.894115  77.37646 ]]"
lb,"[[15. 70.]
 [26. 70.]
 [26. 78.]
 [15. 78.]]"
pladdety,"[[26. 70.]
 [65. 70.]
 [65. 88.]
 [26. 88.]]"
te,"[[19. 80.]
 [28. 80.]
 [28. 86.]
 [19. 86.]]"
