text,bbox
s30,"[[50. 14.]
 [69. 14.]
 [69. 25.]
 [50. 25.]]"
ecotnn,"[[ 68.  14.]
 [111.  14.]
 [111.  26.]
 [ 68.  26.]]"
toroo,"[[19. 19.]
 [43. 19.]
 [43. 26.]
 [19. 26.]]"
13900,"[[26. 29.]
 [92. 29.]
 [92. 51.]
 [26. 51.]]"
diewalton,"[[ 7. 57.]
 [54. 57.]
 [54. 74.]
 [ 7. 74.]]"
70,"[[45. 57.]
 [56. 57.]
 [56. 66.]
 [45. 66.]]"
volt,"[[56. 57.]
 [74. 57.]
 [74. 66.]
 [56. 66.]]"
max,"[[74. 58.]
 [95. 58.]
 [95. 66.]
 [74. 66.]]"
dallampact,"[[ 54.  65.]
 [101.  65.]
 [101.  74.]
 [ 54.  74.]]"
kit,"[[33. 74.]
 [46. 74.]
 [46. 81.]
 [33. 81.]]"
onver,"[[ 8. 75.]
 [32. 75.]
 [32. 81.]
 [ 8. 81.]]"
