text,bbox
felt,"[[79. 12.]
 [96. 12.]
 [96. 20.]
 [79. 20.]]"
eectuic,"[[ 96.  12.]
 [128.  12.]
 [128.  21.]
 [ 96.  21.]]"
coloe,"[[129.04482   12.237932]
 [150.38274   13.493101]
 [149.92757   21.231031]
 [128.58965   19.975863]]"
sall,"[[35. 15.]
 [61. 15.]
 [61. 23.]
 [35. 23.]]"
caster,"[[ 79.  20.]
 [106.  20.]
 [106.  29.]
 [ 79.  29.]]"
led,"[[105.  20.]
 [123.  20.]
 [123.  29.]
 [105.  29.]]"
flood,"[[123.  20.]
 [147.  20.]
 [147.  29.]
 [123.  29.]]"
s3999,"[[16. 27.]
 [73. 27.]
 [73. 50.]
 [16. 50.]]"
lightwits,"[[ 79.  28.]
 [120.  28.]
 [120.  38.]
 [ 79.  38.]]"
remole,"[[122.  30.]
 [152.  30.]
 [152.  37.]
 [122.  37.]]"
control,"[[ 80.  38.]
 [109.  38.]
 [109.  45.]
 [ 80.  45.]]"
ud,"[[ 93.  47.]
 [103.  47.]
 [103.  52.]
 [ 93.  52.]]"
to,"[[ 91.  54.]
 [103.  54.]
 [103.  59.]
 [ 91.  59.]]"
