text,bbox
your,"[[16.  7.]
 [49.  7.]
 [49. 18.]
 [16. 18.]]"
choice,"[[50.  7.]
 [95.  7.]
 [95. 18.]
 [50. 18.]]"
sale,"[[41. 20.]
 [67. 20.]
 [67. 29.]
 [41. 29.]]"
s259,"[[21. 32.]
 [78. 32.]
 [78. 55.]
 [21. 55.]]"
ceh,"[[61. 48.]
 [75. 48.]
 [75. 54.]
 [61. 54.]]"
pre,"[[15. 63.]
 [29. 63.]
 [29. 70.]
 [15. 70.]]"
ltled,"[[30. 62.]
 [60. 62.]
 [60. 70.]
 [30. 70.]]"
med,"[[60. 62.]
 [87. 62.]
 [87. 70.]
 [60. 70.]]"
25,"[[33. 70.]
 [47. 70.]
 [47. 79.]
 [33. 79.]]"
wrealh,"[[47. 71.]
 [78. 71.]
 [78. 78.]
 [47. 78.]]"
pine,"[[15. 72.]
 [33. 72.]
 [33. 79.]
 [15. 79.]]"
or,"[[78. 72.]
 [88. 72.]
 [88. 79.]
 [78. 79.]]"
ganland,"[[22.750368 78.509605]
 [54.81832  77.27622 ]
 [55.152145 85.955696]
 [23.084192 87.18908 ]]"
