text,bbox
s17900,"[[16. 14.]
 [85. 14.]
 [85. 37.]
 [16. 37.]]"
ego,"[[11. 43.]
 [29. 43.]
 [29. 51.]
 [11. 51.]]"
powers,"[[32. 43.]
 [68. 43.]
 [68. 51.]
 [32. 51.]]"
s6,"[[69. 43.]
 [80. 43.]
 [80. 51.]
 [69. 51.]]"
volt,"[[80. 43.]
 [98. 43.]
 [98. 51.]
 [80. 51.]]"
boo,"[[ 98.  43.]
 [113.  43.]
 [113.  51.]
 [ 98.  51.]]"
cfm,"[[113.  43.]
 [133.  43.]
 [133.  51.]
 [113.  51.]]"
handhold,"[[12. 52.]
 [51. 52.]
 [51. 60.]
 [12. 60.]]"
blower,"[[52. 52.]
 [80. 52.]
 [80. 60.]
 [52. 60.]]"
cie,"[[22. 76.]
 [35. 76.]
 [35. 81.]
 [22. 81.]]"
