text,bbox
your,"[[ 0.000000e+00  4.000000e+00]
 [ 3.100000e+01  4.000000e+00]
 [ 3.100000e+01  1.500000e+01]
 [-3.367779e-16  1.500000e+01]]"
choice,"[[32.        4.      ]
 [76.99999   4.      ]
 [76.99999  14.999998]
 [32.       14.999998]]"
ale,"[[30. 18.]
 [49. 18.]
 [49. 26.]
 [30. 26.]]"
s496,"[[ 4.0720634 29.757153 ]
 [62.376606  31.052814 ]
 [61.829716  55.662884 ]
 [ 3.5251725 54.36722  ]]"
pie,"[[ 9. 61.]
 [24. 61.]
 [24. 68.]
 [ 9. 68.]]"
ab,"[[26. 61.]
 [39. 61.]
 [39. 68.]
 [26. 68.]]"
led,"[[38. 61.]
 [55. 61.]
 [55. 68.]
 [38. 68.]]"
polled,"[[ 1. 69.]
 [27. 69.]
 [27. 77.]
 [ 1. 77.]]"
puine,"[[28. 69.]
 [47. 69.]
 [47. 77.]
 [28. 77.]]"
ree,"[[49. 69.]
 [66. 69.]
 [66. 77.]
 [49. 77.]]"
