text,bbox
leg,"[[28. 13.]
 [44. 13.]
 [44. 21.]
 [28. 21.]]"
sns,"[[44. 13.]
 [69. 13.]
 [69. 21.]
 [44. 21.]]"
sale,"[[41. 25.]
 [64. 25.]
 [64. 32.]
 [41. 32.]]"
s849,"[[15.114014 34.69359 ]
 [83.37767  37.0475  ]
 [82.62352  58.918045]
 [14.35986  56.564133]]"
pro,"[[46.060978 62.451225]
 [60.548786 64.06098 ]
 [59.719517 71.52439 ]
 [45.23171  69.914635]]"
tbo,"[[60. 63.]
 [75. 63.]
 [75. 70.]
 [60. 70.]]"
to,"[[12. 64.]
 [25. 64.]
 [25. 70.]
 [12. 70.]]"
peel,"[[35. 71.]
 [57. 71.]
 [57. 78.]
 [35. 78.]]"
gnd,"[[58. 71.]
 [76. 71.]
 [76. 78.]
 [58. 78.]]"
ooe,"[[19. 72.]
 [34. 72.]
 [34. 78.]
 [19. 78.]]"
