text,bbox
570,"[[51. 16.]
 [73. 16.]
 [73. 28.]
 [51. 28.]]"
ecosne,"[[ 73.  17.]
 [114.  17.]
 [114.  28.]
 [ 73.  28.]]"
noo,"[[23. 19.]
 [48. 19.]
 [48. 26.]
 [23. 26.]]"
s27900,"[[29. 32.]
 [98. 32.]
 [98. 54.]
 [29. 54.]]"
dewalt,"[[10. 58.]
 [45. 58.]
 [45. 66.]
 [10. 66.]]"
volt,"[[59. 57.]
 [76. 57.]
 [76. 66.]
 [59. 66.]]"
70,"[[48. 58.]
 [58. 58.]
 [58. 66.]
 [48. 66.]]"
max,"[[76. 58.]
 [97. 58.]
 [97. 66.]
 [76. 66.]]"
tool,"[[18. 66.]
 [35. 66.]
 [35. 74.]
 [18. 74.]]"
combo,"[[36. 66.]
 [63. 66.]
 [63. 73.]
 [36. 73.]]"
lit,"[[64. 66.]
 [76. 66.]
 [76. 73.]
 [64. 73.]]"
