text,bbox
your,"[[21.443075 12.975384]
 [54.839996 11.119999]
 [55.550766 23.913845]
 [22.153845 25.76923 ]]"
choice,"[[ 55.  12.]
 [101.  12.]
 [101.  25.]
 [ 55.  25.]]"
sale,"[[45. 26.]
 [71. 26.]
 [71. 35.]
 [45. 35.]]"
s12900,"[[19.055382 37.843075]
 [87.22739  39.03908 ]
 [86.81139  62.75108 ]
 [18.639385 61.555073]]"
crafteman,"[[16. 67.]
 [58. 67.]
 [58. 75.]
 [16. 75.]]"
sgal,"[[62. 67.]
 [85. 67.]
 [85. 75.]
 [62. 75.]]"
ollfrce,"[[ 84.  66.]
 [118.  66.]
 [118.  75.]
 [ 84.  75.]]"
all,"[[51. 75.]
 [64. 75.]
 [64. 83.]
 [51. 83.]]"
cou,"[[65. 75.]
 [83. 75.]
 [83. 82.]
 [65. 82.]]"
pancase,"[[16. 76.]
 [50. 76.]
 [50. 83.]
 [16. 83.]]"
presor,"[[ 82.  76.]
 [112.  76.]
 [112.  84.]
 [ 82.  84.]]"
versastack,"[[24.84363  82.43229 ]
 [80.95468  81.096306]
 [81.18924  90.94787 ]
 [25.078188 92.28385 ]]"
20,"[[84. 82.]
 [99. 82.]
 [99. 91.]
 [84. 91.]]"
pe,"[[100.  83.]
 [112.  83.]
 [112.  91.]
 [100.  91.]]"
or,"[[16. 85.]
 [25. 85.]
 [25. 91.]
 [16. 91.]]"
nechanics,"[[16. 91.]
 [60. 91.]
 [60. 99.]
 [16. 99.]]"
soos,"[[62. 92.]
 [80. 92.]
 [80. 99.]
 [62. 99.]]"
sct,"[[80. 92.]
 [94. 92.]
 [94. 99.]
 [80. 99.]]"
