text,bbox
sale,"[[25. 10.]
 [51. 10.]
 [51. 18.]
 [25. 18.]]"
s75,"[[13. 21.]
 [54. 21.]
 [54. 43.]
 [13. 43.]]"
latees,"[[11.047924 47.80191 ]
 [41.199684 49.00798 ]
 [40.899364 56.51597 ]
 [10.747604 55.3099  ]]"
rcor,"[[44. 48.]
 [75. 48.]
 [75. 55.]
 [44. 55.]]"
chewy,"[[10.134487 53.7138  ]
 [37.334484 55.313797]
 [36.910343 62.52414 ]
 [ 9.710346 60.92414 ]]"
bbo,"[[37. 54.]
 [56. 54.]
 [56. 62.]
 [37. 62.]]"
hud,"[[55. 54.]
 [72. 54.]
 [72. 61.]
 [55. 61.]]"
swe,"[[18. 61.]
 [44. 61.]
 [44. 70.]
 [18. 70.]]"
apple,"[[43. 61.]
 [67. 61.]
 [67. 71.]
 [43. 71.]]"
or,"[[10. 63.]
 [19. 63.]
 [19. 69.]
 [10. 69.]]"
bbo,"[[10. 70.]
 [27. 70.]
 [27. 77.]
 [10. 77.]]"
slus,"[[28. 70.]
 [46. 70.]
 [46. 77.]
 [28. 77.]]"
