text,bbox
560,"[[54. 20.]
 [74. 20.]
 [74. 32.]
 [54. 32.]]"
cusive,"[[ 74.  21.]
 [116.  21.]
 [116.  32.]
 [ 74.  32.]]"
8os,"[[24. 23.]
 [38. 23.]
 [38. 30.]
 [24. 30.]]"
00,"[[37. 22.]
 [48. 22.]
 [48. 30.]
 [37. 30.]]"
s14900,"[[33. 36.]
 [99. 36.]
 [99. 59.]
 [33. 59.]]"
dewalt,"[[11.632597 64.01933 ]
 [47.795578 62.11602 ]
 [48.312157 71.93094 ]
 [12.149172 73.83425 ]]"
volt,"[[61. 63.]
 [78. 63.]
 [78. 72.]
 [61. 72.]]"
max,"[[78. 63.]
 [99. 63.]
 [99. 72.]
 [78. 72.]]"
10,"[[51. 65.]
 [60. 65.]
 [60. 71.]
 [51. 71.]]"
lon,"[[45. 72.]
 [58. 72.]
 [58. 79.]
 [45. 79.]]"
comvan,"[[58. 71.]
 [94. 71.]
 [94. 88.]
 [58. 88.]]"
mpace,"[[37.783016 81.00943 ]
 [64.94905  79.82829 ]
 [65.32265  88.420746]
 [38.156605 89.60188 ]]"
kit,"[[ 90.  80.]
 [104.  80.]
 [104.  87.]
 [ 90.  87.]]"
dn,"[[13. 81.]
 [23. 81.]
 [23. 87.]
 [13. 87.]]"
