text,bbox
your,"[[33. 11.]
 [65. 11.]
 [65. 22.]
 [33. 22.]]"
choice,"[[ 66.  11.]
 [108.  11.]
 [108.  22.]
 [ 66.  22.]]"
20,"[[55. 25.]
 [75. 25.]
 [75. 36.]
 [55. 36.]]"
xausne,"[[ 74.  25.]
 [117.  25.]
 [117.  37.]
 [ 74.  37.]]"
mooo,"[[26. 27.]
 [47. 27.]
 [47. 34.]
 [26. 34.]]"
sgg00,"[[37. 40.]
 [93. 40.]
 [93. 62.]
 [37. 62.]]"
dewall,"[[12. 67.]
 [49. 67.]
 [49. 83.]
 [12. 83.]]"
zo,"[[50. 67.]
 [61. 67.]
 [61. 75.]
 [50. 75.]]"
volt,"[[61. 67.]
 [79. 67.]
 [79. 76.]
 [61. 76.]]"
max,"[[ 78.  67.]
 [100.  67.]
 [100.  75.]
 [ 78.  75.]]"
lon,"[[45. 76.]
 [58. 76.]
 [58. 83.]
 [45. 83.]]"
porer,"[[59.17257 75.41152]
 [84.39381 77.09293]
 [83.87611 84.85842]
 [58.65487 83.17701]]"
toos,"[[ 85.  76.]
 [107.  76.]
 [107.  83.]
 [ 85.  83.]]"
jobut,"[[14. 84.]
 [36. 84.]
 [36. 91.]
 [14. 91.]]"
lotcticd,"[[ 84.  84.]
 [118.  84.]
 [118.  91.]
 [ 84.  91.]]"
pear,"[[42. 85.]
 [66. 85.]
 [66. 92.]
 [42. 92.]]"
ot,"[[73. 85.]
 [82. 85.]
 [82. 91.]
 [73. 91.]]"
