text,bbox
your,"[[10.  8.]
 [44.  8.]
 [44. 20.]
 [10. 20.]]"
choice,"[[44.  8.]
 [90.  8.]
 [90. 20.]
 [44. 20.]]"
sale,"[[34. 22.]
 [60. 22.]
 [60. 31.]
 [34. 31.]]"
144,"[[15.053253 33.76318 ]
 [69.30821  35.054966]
 [68.76997  57.661198]
 [14.515012 56.36941 ]]"
cen,"[[52. 50.]
 [66. 50.]
 [66. 56.]
 [52. 56.]]"
preln,"[[10. 60.]
 [40. 60.]
 [40. 69.]
 [10. 69.]]"
northern,"[[40. 62.]
 [77. 62.]
 [77. 69.]
 [40. 69.]]"
pine,"[[12. 70.]
 [29. 70.]
 [29. 77.]
 [12. 77.]]"
6,"[[31. 70.]
 [37. 70.]
 [37. 77.]
 [31. 77.]]"
carland,"[[39. 70.]
 [70. 70.]
 [70. 77.]
 [39. 77.]]"
or,"[[71. 71.]
 [80. 71.]
 [80. 78.]
 [71. 78.]]"
2a,"[[10. 77.]
 [24. 77.]
 [24. 86.]
 [10. 86.]]"
wreath,"[[24. 77.]
 [55. 77.]
 [55. 86.]
 [24. 86.]]"
