text,bbox
fee,"[[25. 21.]
 [42. 21.]
 [42. 28.]
 [25. 28.]]"
sta,"[[42. 21.]
 [68. 21.]
 [68. 28.]
 [42. 28.]]"
ale,"[[47. 33.]
 [65. 33.]
 [65. 39.]
 [47. 39.]]"
s31999,"[[12. 43.]
 [81. 43.]
 [81. 66.]
 [12. 66.]]"
cach,"[[62. 59.]
 [82. 59.]
 [82. 67.]
 [62. 67.]]"
oon,"[[ 9. 73.]
 [28. 73.]
 [28. 81.]
 [ 9. 81.]]"
12,"[[28. 72.]
 [41. 72.]
 [41. 80.]
 [28. 80.]]"
kodo,"[[41. 72.]
 [63. 72.]
 [63. 80.]
 [41. 80.]]"
kerd,"[[74. 73.]
 [95. 73.]
 [95. 80.]
 [74. 80.]]"
oe,"[[64. 74.]
 [74. 74.]
 [74. 81.]
 [64. 81.]]"
outdoot,"[[ 9. 81.]
 [41. 81.]
 [41. 88.]
 [ 9. 88.]]"
ela,"[[43. 81.]
 [64. 81.]
 [64. 88.]
 [43. 88.]]"
oven,"[[66. 81.]
 [87. 81.]
 [87. 89.]
 [66. 89.]]"
