text,bbox
choice,"[[49.  0.]
 [94.  0.]
 [94. 12.]
 [49. 12.]]"
your,"[[17.  1.]
 [48.  1.]
 [48. 12.]
 [17. 12.]]"
ale,"[[45. 16.]
 [65. 16.]
 [65. 23.]
 [45. 23.]]"
s4991,"[[20.09378  26.779861]
 [77.26555  28.050346]
 [76.74136  51.638695]
 [19.569595 50.36821 ]]"
sana,"[[20. 57.]
 [42. 57.]
 [42. 64.]
 [20. 64.]]"
or,"[[43. 58.]
 [52. 58.]
 [52. 64.]
 [43. 64.]]"
lonin,"[[20. 66.]
 [49. 66.]
 [49. 72.]
 [20. 72.]]"
la,"[[48. 66.]
 [58. 66.]
 [58. 71.]
 [48. 71.]]"
yord,"[[36. 71.]
 [56. 71.]
 [56. 80.]
 [36. 80.]]"
ced,"[[20. 73.]
 [36. 73.]
 [36. 80.]
 [20. 80.]]"
decoe,"[[20. 82.]
 [42. 82.]
 [42. 88.]
 [20. 88.]]"
