text,bbox
your,"[[24. 16.]
 [57. 16.]
 [57. 27.]
 [24. 27.]]"
choice,"[[ 57.  16.]
 [103.  16.]
 [103.  28.]
 [ 57.  28.]]"
sioeicuse,"[[ 47.  30.]
 [107.  30.]
 [107.  42.]
 [ 47.  42.]]"
toco,"[[15. 31.]
 [37. 31.]
 [37. 40.]
 [15. 40.]]"
s6990,"[[27. 46.]
 [86. 46.]
 [86. 70.]
 [27. 70.]]"
crolaman,"[[35.09227 76.15462]
 [77.23691 78.26184]
 [76.84538 86.09227]
 [34.70075 83.98505]]"
power,"[[ 81.  77.]
 [107.  77.]
 [107.  85.]
 [ 81.  85.]]"
vac,"[[67. 84.]
 [84. 84.]
 [84. 93.]
 [67. 93.]]"
tcols,"[[35. 86.]
 [57. 86.]
 [57. 93.]
 [35. 93.]]"
ot,"[[58. 87.]
 [67. 87.]
 [67. 93.]
 [58. 93.]]"
