text,bbox
choice,"[[43.  4.]
 [86.  4.]
 [86. 16.]
 [43. 16.]]"
your,"[[11.  5.]
 [43.  5.]
 [43. 16.]
 [11. 16.]]"
sale,"[[33. 18.]
 [58. 18.]
 [58. 26.]
 [33. 26.]]"
s5999,"[[15. 29.]
 [68. 29.]
 [68. 51.]
 [15. 51.]]"
teeliled,"[[12. 56.]
 [62. 56.]
 [62. 64.]
 [12. 64.]]"
color,"[[10. 63.]
 [32. 63.]
 [32. 71.]
 [10. 71.]]"
chan,"[[34. 64.]
 [53. 64.]
 [53. 71.]
 [34. 71.]]"
spial,"[[50. 65.]
 [75. 65.]
 [75. 81.]
 [50. 81.]]"
slalgh,"[[11. 71.]
 [42. 71.]
 [42. 80.]
 [11. 80.]]"
ribhon,"[[11. 78.]
 [38. 78.]
 [38. 87.]
 [11. 87.]]"
tr,"[[39. 80.]
 [51. 80.]
 [51. 86.]
 [39. 86.]]"
o,"[[23. 88.]
 [30. 88.]
 [30. 93.]
 [23. 93.]]"
