text,bbox
choice,"[[38. 10.]
 [83. 10.]
 [83. 21.]
 [38. 21.]]"
your,"[[ 4. 11.]
 [37. 11.]
 [37. 21.]
 [ 4. 21.]]"
sale,"[[29. 23.]
 [54. 23.]
 [54. 32.]
 [29. 32.]]"
s9999,"[[ 8.0937805 34.779854 ]
 [66.26506   36.072556 ]
 [65.75667   58.95015  ]
 [ 7.585392  57.657448 ]]"
tpie,"[[ 4. 66.]
 [29. 66.]
 [29. 74.]
 [ 4. 74.]]"
lt,"[[27. 65.]
 [41. 65.]
 [41. 74.]
 [27. 74.]]"
led,"[[40. 65.]
 [58. 65.]
 [58. 74.]
 [40. 74.]]"
slim,"[[58. 65.]
 [79. 65.]
 [79. 74.]
 [58. 74.]]"
winchester,"[[ 4. 73.]
 [50. 73.]
 [50. 82.]
 [ 4. 82.]]"
tree,"[[51. 74.]
 [70. 74.]
 [70. 82.]
 [51. 82.]]"
