text,bbox
your,"[[38. 10.]
 [71. 10.]
 [71. 20.]
 [38. 20.]]"
choice,"[[ 71.  10.]
 [113.  10.]
 [113.  20.]
 [ 71.  20.]]"
5,"[[62. 23.]
 [76. 23.]
 [76. 34.]
 [62. 34.]]"
eicusnt,"[[ 74.  23.]
 [116.  23.]
 [116.  35.]
 [ 74.  35.]]"
194,"[[43. 39.]
 [95. 39.]
 [95. 61.]
 [43. 61.]]"
dewals,"[[20. 65.]
 [54. 65.]
 [54. 72.]
 [20. 72.]]"
dnds,"[[77. 65.]
 [99. 65.]
 [99. 72.]
 [77. 72.]]"
scle,"[[113.  65.]
 [130.  65.]
 [130.  72.]
 [113.  72.]]"
de,"[[131.  66.]
 [139.  66.]
 [139.  72.]
 [131.  72.]]"
gn,"[[20. 73.]
 [37. 73.]
 [37. 80.]
 [20. 80.]]"
ange,"[[42. 73.]
 [65. 73.]
 [65. 81.]
 [42. 81.]]"
attach,"[[65. 73.]
 [91. 73.]
 [91. 80.]
 [65. 80.]]"
