text,bbox
your,"[[23. 13.]
 [55. 13.]
 [55. 24.]
 [23. 24.]]"
choice,"[[56. 13.]
 [99. 13.]
 [99. 24.]
 [56. 24.]]"
sall,"[[43. 26.]
 [68. 26.]
 [68. 34.]
 [43. 34.]]"
sg99,"[[32. 37.]
 [73. 37.]
 [73. 60.]
 [32. 60.]]"
scto,"[[ 84.  63.]
 [102.  63.]
 [102.  72.]
 [ 84.  72.]]"
doe,"[[56.297302 64.21622 ]
 [71.70271  66.78378 ]
 [70.62163  73.27026 ]
 [55.21622  70.7027  ]]"
bl,"[[72. 64.]
 [84. 64.]
 [84. 72.]
 [72. 72.]]"
ot,"[[101.  65.]
 [112.  65.]
 [112.  72.]
 [101.  72.]]"
pry,"[[111.30487   64.2561  ]
 [129.52438   66.28049 ]
 [128.67072   73.96341 ]
 [110.45121   71.939026]]"
ber,"[[128.  65.]
 [142.  65.]
 [142.  72.]
 [128.  72.]]"
