text,bbox
sale,"[[31. 18.]
 [57. 18.]
 [57. 27.]
 [31. 27.]]"
s899,"[[12. 29.]
 [69. 29.]
 [69. 52.]
 [12. 52.]]"
penlect,"[[ 8. 59.]
 [38. 59.]
 [38. 67.]
 [ 8. 67.]]"
alte,"[[39. 59.]
 [60. 59.]
 [60. 67.]
 [39. 67.]]"
2r,"[[ 7. 66.]
 [21. 66.]
 [21. 75.]
 [ 7. 75.]]"
oscillating,"[[23.041527 66.42215 ]
 [67.16885  67.58339 ]
 [66.94394  76.1301  ]
 [22.816608 74.96886 ]]"
ceramig,"[[ 8. 76.]
 [42. 76.]
 [42. 83.]
 [ 8. 83.]]"
towee,"[[43. 76.]
 [69. 76.]
 [69. 83.]
 [43. 83.]]"
hooler,"[[ 8. 84.]
 [35. 84.]
 [35. 91.]
 [ 8. 91.]]"
nile,"[[37. 85.]
 [51. 85.]
 [51. 91.]
 [37. 91.]]"
