text,bbox
s39g00,"[[24.053703 15.831425]
 [95.219696 17.037628]
 [94.81821  40.725735]
 [23.652212 39.51953 ]]"
mlwsuree,"[[18. 46.]
 [61. 46.]
 [61. 54.]
 [18. 54.]]"
mis,"[[66. 46.]
 [82. 46.]
 [82. 54.]
 [66. 54.]]"
fuel,"[[16. 53.]
 [40. 53.]
 [40. 63.]
 [16. 63.]]"
lithnum,"[[44. 54.]
 [76. 54.]
 [76. 62.]
 [44. 62.]]"
on,"[[77. 55.]
 [91. 55.]
 [91. 62.]
 [77. 62.]]"
brushless,"[[18. 62.]
 [57. 62.]
 [57. 70.]
 [18. 70.]]"
dnil,"[[58. 61.]
 [76. 61.]
 [76. 70.]
 [58. 70.]]"
s,"[[77. 63.]
 [82. 63.]
 [82. 70.]
 [77. 70.]]"
dnver,"[[47. 71.]
 [72. 71.]
 [72. 78.]
 [47. 78.]]"
combc,"[[16. 71.]
 [46. 71.]
 [46. 86.]
 [16. 86.]]"
sn,"[[47. 79.]
 [59. 79.]
 [59. 85.]
 [47. 85.]]"
