text,bbox
sale,"[[115.  54.]
 [189.  54.]
 [189.  76.]
 [115.  76.]]"
1499,"[[ 62.089462  88.81671 ]
 [216.23961   90.0499  ]
 [215.75249  150.94202 ]
 [ 61.602337 149.70883 ]]"
cace,"[[164. 132.]
 [208. 132.]
 [208. 149.]
 [164. 149.]]"
sherpa,"[[ 43.46991  171.1682  ]
 [130.93503  176.41612 ]
 [129.36867  202.52214 ]
 [ 41.903545 197.27422 ]]"
fleece,"[[131.15033 171.48302]
 [212.35785 173.10716]
 [211.86966 197.51741]
 [130.66214 195.89326]]"
throw,"[[214.15906 172.06969]
 [292.5291  174.59776]
 [291.8264  196.38155]
 [213.45634 193.85347]]"
ommss,"[[ 43. 200.]
 [113. 200.]
 [113. 219.]
 [ 43. 219.]]"
kot,"[[ 78. 220.]
 [115. 220.]
 [115. 238.]
 [ 78. 238.]]"
fid,"[[ 43. 221.]
 [ 78. 221.]
 [ 78. 238.]
 [ 43. 238.]]"
our,"[[117. 222.]
 [151. 222.]
 [151. 238.]
 [117. 238.]]"
