text,bbox
your,"[[ 28.  20.]
 [126.  20.]
 [126.  50.]
 [ 28.  50.]]"
choice,"[[132.  20.]
 [262.  20.]
 [262.  50.]
 [132.  50.]]"
sale,"[[103.  62.]
 [176.  62.]
 [176.  85.]
 [103.  85.]]"
s199g,"[[ 55.19597   98.653915]
 [210.49019  101.11891 ]
 [209.49397  163.88087 ]
 [ 54.199753 161.41588 ]]"
caed,"[[158. 140.]
 [202. 140.]
 [202. 162.]
 [158. 162.]]"
cold,"[[ 28. 180.]
 [ 86. 180.]
 [ 86. 204.]
 [ 28. 204.]]"
led,"[[ 84. 180.]
 [135. 180.]
 [135. 204.]
 [ 84. 204.]]"
light,"[[ 27. 205.]
 [ 92. 205.]
 [ 92. 232.]
 [ 27. 232.]]"
scle,"[[ 94. 205.]
 [147. 205.]
 [147. 229.]
 [ 94. 229.]]"
aeles,"[[ 28. 234.]
 [ 97. 234.]
 [ 97. 249.]
 [ 28. 249.]]"
n,"[[101. 236.]
 [115. 236.]
 [115. 249.]
 [101. 249.]]"
le,"[[116.71721  237.08154 ]
 [153.91975  235.75287 ]
 [154.32994  247.23822 ]
 [117.127396 248.5669  ]]"
