text,bbox
17900,"[[ 51.0782    42.86357 ]
 [250.17827   44.04869 ]
 [249.7874   109.71303 ]
 [ 50.687336 108.52791 ]]"
ego,"[[ 35. 130.]
 [ 88. 130.]
 [ 88. 154.]
 [ 35. 154.]]"
powers,"[[ 98.743835 131.044   ]
 [203.87329  129.62335 ]
 [204.18933  153.01096 ]
 [ 99.059875 154.43161 ]]"
s6,"[[208. 130.]
 [239. 130.]
 [239. 153.]
 [208. 153.]]"
vuit,"[[241. 130.]
 [292. 130.]
 [292. 154.]
 [241. 154.]]"
soo,"[[293. 130.]
 [338. 130.]
 [338. 154.]
 [293. 154.]]"
cee,"[[340. 131.]
 [397. 131.]
 [397. 154.]
 [340. 154.]]"
handhad,"[[ 36. 155.]
 [152. 155.]
 [152. 180.]
 [ 36. 180.]]"
blomde,"[[155.23802 155.0495 ]
 [238.54475 158.38177]
 [237.63261 181.1853 ]
 [154.32588 177.85303]]"
olt,"[[ 36.093674 182.59773 ]
 [106.23213  184.09004 ]
 [105.889145 200.2104  ]
 [ 35.750687 198.7181  ]]"
eacmo,"[[ 36. 204.]
 [124. 204.]
 [124. 221.]
 [ 36. 221.]]"
co,"[[361. 205.]
 [389. 205.]
 [389. 221.]
 [361. 221.]]"
et,"[[333. 225.]
 [390. 225.]
 [390. 242.]
 [333. 242.]]"
