text,bbox
sale,"[[ 98.  29.]
 [172.  29.]
 [172.  52.]
 [ 98.  52.]]"
1799,"[[ 44.15883   65.75166 ]
 [197.31932   67.347084]
 [196.68517  128.22589 ]
 [ 43.524673 126.63047 ]]"
cicc,"[[146. 110.]
 [190. 110.]
 [190. 129.]
 [146. 129.]]"
dickics,"[[ 27. 145.]
 [118. 145.]
 [118. 169.]
 [ 27. 169.]]"
bcanic,"[[134. 170.]
 [216. 170.]
 [216. 193.]
 [134. 193.]]"
tiagger,"[[ 27.222046 170.44888 ]
 [121.55112  174.22205 ]
 [120.58147  198.46326 ]
 [ 26.252396 194.6901  ]]"
lomdea,"[[ 27. 197.]
 [100. 197.]
 [100. 215.]
 [ 27. 215.]]"
otias,"[[101. 197.]
 [171. 197.]
 [171. 216.]
 [101. 216.]]"
dlated,"[[ 28. 218.]
 [ 92. 218.]
 [ 92. 236.]
 [ 28. 236.]]"
lou,"[[170. 218.]
 [233. 218.]
 [233. 236.]
 [170. 236.]]"
lta,"[[ 99.07849  219.76071 ]
 [168.18445  221.04044 ]
 [167.87762  237.60883 ]
 [ 98.771675 236.3291  ]]"
cs,"[[103. 242.]
 [138. 242.]
 [138. 248.]
 [103. 248.]]"
