text,bbox
sale,"[[ 65.  42.]
 [119.  42.]
 [119.  60.]
 [ 65.  60.]]"
550,"[[152.65573   41.213127]
 [213.06097   44.31083 ]
 [211.34296   77.81246 ]
 [150.93771   74.71476 ]]"
lcul,"[[211.  45.]
 [317.  45.]
 [317.  77.]
 [211.  77.]]"
0o,"[[100.  58.]
 [132.  58.]
 [132.  80.]
 [100.  80.]]"
za9,"[[ 57.  59.]
 [102.  59.]
 [102.  79.]
 [ 57.  79.]]"
17900,"[[ 85.15802  92.72807]
 [283.36798  95.08771]
 [282.62546 157.45981]
 [ 84.41549 155.10017]]"
milwaukec,"[[ 21.      181.99998]
 [152.99997 181.99998]
 [152.99997 205.99998]
 [ 21.      205.99998]]"
mie,"[[166. 182.]
 [225. 182.]
 [225. 206.]
 [166. 206.]]"
redlithium,"[[ 22. 207.]
 [185. 207.]
 [185. 230.]
 [ 22. 230.]]"
brushless,"[[195.08841 206.01375]
 [313.23404 207.50926]
 [312.94376 230.4423 ]
 [194.79813 228.9468 ]]"
dill,"[[130.0663  232.25966]
 [183.65471 229.43922]
 [184.88951 252.90056]
 [131.3011  255.721  ]]"
compact,"[[ 21.04683  231.832   ]
 [128.20184  233.03598 ]
 [127.90369  259.57193 ]
 [ 20.748676 258.36795 ]]"
s,"[[187. 232.]
 [204. 232.]
 [204. 253.]
 [187. 253.]]"
impact,"[[207. 233.]
 [295. 233.]
 [295. 257.]
 [207. 257.]]"
dniver,"[[ 21. 257.]
 [ 97. 257.]
 [ 97. 279.]
 [ 21. 279.]]"
kit,"[[ 99. 257.]
 [138. 257.]
 [138. 280.]
 [ 99. 280.]]"
