text,bbox
sale,"[[138.  59.]
 [211.  59.]
 [211.  82.]
 [138.  82.]]"
s29999,"[[ 64.  95.]
 [271.  95.]
 [271. 160.]
 [ 64. 160.]]"
solo,"[[ 48. 178.]
 [101. 178.]
 [101. 200.]
 [ 48. 200.]]"
slove,"[[103. 178.]
 [169. 178.]
 [169. 200.]
 [103. 200.]]"
bonfre,"[[ 49. 202.]
 [136. 202.]
 [136. 225.]
 [ 49. 225.]]"
stand,"[[160. 202.]
 [233. 202.]
 [233. 226.]
 [160. 226.]]"
c,"[[138. 203.]
 [156. 203.]
 [156. 224.]
 [138. 224.]]"
re,"[[164. 230.]
 [191. 230.]
 [191. 246.]
 [164. 246.]]"
iod,"[[191. 230.]
 [235. 230.]
 [235. 246.]
 [191. 246.]]"
uose,"[[300.99997 230.     ]
 [387.99997 230.     ]
 [387.99997 246.     ]
 [300.99997 246.     ]]"
aoe,"[[237. 232.]
 [299. 232.]
 [299. 248.]
 [237. 248.]]"
ao,"[[227. 252.]
 [263. 252.]
 [263. 269.]
 [227. 269.]]"
aree,"[[266. 253.]
 [320. 253.]
 [320. 268.]
 [266. 268.]]"
ctlod,"[[321.0994  252.62054]
 [377.31546 254.27399]
 [376.83835 270.49524]
 [320.62228 268.8418 ]]"
laa,"[[122. 254.]
 [148. 254.]
 [148. 268.]
 [122. 268.]]"
d,"[[103. 255.]
 [121. 255.]
 [121. 269.]
 [103. 269.]]"
ts,"[[152. 255.]
 [225. 255.]
 [225. 271.]
 [152. 271.]]"
sees,"[[ 53.416344 270.33853 ]
 [114.73931  274.17123 ]
 [113.64982  291.60312 ]
 [ 52.32685  287.77042 ]]"
san,"[[116. 276.]
 [179. 276.]
 [179. 290.]
 [116. 290.]]"
ca,"[[180. 276.]
 [220. 276.]
 [220. 290.]
 [180. 290.]]"
