text,bbox
sale,"[[142.  47.]
 [217.  47.]
 [217.  69.]
 [142.  69.]]"
1699g,"[[ 72.10263  79.86287]
 [271.1853   81.05499]
 [270.79202 146.7293 ]
 [ 71.70936 145.53717]]"
patio,"[[ 94.57585 165.15498]
 [158.75203 163.32137]
 [159.4282  186.98775]
 [ 95.25203 188.82137]]"
dr,"[[ 56. 165.]
 [ 93. 165.]
 [ 93. 188.]
 [ 56. 188.]]"
heater,"[[162.14256 164.58269]
 [243.34947 166.71971]
 [242.78545 188.15224]
 [161.57854 186.01521]]"
aldio,"[[ 56. 191.]
 [110. 191.]
 [110. 210.]
 [ 56. 210.]]"
bl,"[[112. 193.]
 [151. 193.]
 [151. 209.]
 [112. 209.]]"
vsgs,"[[155. 193.]
 [194. 193.]
 [194. 209.]
 [155. 209.]]"
oe,"[[197.18846 192.28752]
 [237.52394 193.90096]
 [236.90092 209.47603]
 [196.56544 207.8626 ]]"
len,"[[ 57. 215.]
 [ 90. 215.]
 [ 90. 230.]
 [ 57. 230.]]"
eols,"[[ 91. 214.]
 [135. 214.]
 [135. 232.]
 [ 91. 232.]]"
ste,"[[136.20207 215.55464]
 [191.36082 218.06184]
 [190.65569 233.57524]
 [135.49693 231.06804]]"
