text,bbox
your,"[[ 33.999992  14.      ]
 [129.99997   14.      ]
 [129.99997   43.999996]
 [ 33.999992  43.999996]]"
choice,"[[136.  14.]
 [267.  14.]
 [267.  45.]
 [136.  45.]]"
sale,"[[108.  57.]
 [180.  57.]
 [180.  78.]
 [108.  78.]]"
s4999,"[[ 50.101532  92.800766]
 [213.20728   94.05545 ]
 [212.73132  155.92871 ]
 [ 49.625587 154.67403 ]]"
cech,"[[166. 134.]
 [211. 134.]
 [211. 156.]
 [166. 156.]]"
prelit,"[[ 23.695663 176.08783 ]
 [108.86426  174.3497  ]
 [109.369675 199.1149  ]
 [ 24.20108  200.85303 ]]"
led,"[[111. 176.]
 [161. 176.]
 [161. 198.]
 [111. 198.]]"
decorated,"[[ 24.833733 200.04086 ]
 [142.95963  198.88275 ]
 [143.18442  221.81192 ]
 [ 25.058525 222.97003 ]]"
30,"[[ 24. 223.]
 [ 56. 223.]
 [ 56. 247.]
 [ 24. 247.]]"
wanth,"[[ 67.78616 225.03165]
 [152.92593 223.81537]
 [153.23709 245.59665]
 [ 68.09732 246.81293]]"
