text,bbox
60,"[[178.  63.]
 [221.  63.]
 [221.  94.]
 [178.  94.]]"
lluv,"[[222.  63.]
 [322.  63.]
 [322.  94.]
 [222.  94.]]"
raoo,"[[ 68.  68.]
 [141.  68.]
 [141.  89.]
 [ 68.  89.]]"
14900,"[[105.135254 109.77272 ]
 [295.36066  112.06459 ]
 [294.63992  171.88722 ]
 [104.414505 169.59535 ]]"
dewalt,"[[ 35.999992 191.99998 ]
 [138.99997  191.99998 ]
 [138.99997  213.99998 ]
 [ 35.999992 213.99998 ]]"
20,"[[151. 192.]
 [181. 192.]
 [181. 214.]
 [151. 214.]]"
volt,"[[186. 192.]
 [233. 192.]
 [233. 213.]
 [186. 213.]]"
max,"[[235. 192.]
 [298. 192.]
 [298. 214.]
 [235. 214.]]"
lithiumelion,"[[ 35.133224 215.34053 ]
 [173.25435  217.46547 ]
 [172.91975  239.21416 ]
 [ 34.79863  237.08922 ]]"
compact,"[[177.10312 215.66914]
 [278.40283 218.08104]
 [277.80682 243.11446]
 [176.5071  240.70256]]"
dinll,"[[ 35.50389 240.13223]
 [ 87.87035 238.59207]
 [ 88.47882 259.28003]
 [ 36.11236 260.8202 ]]"
l,"[[ 90. 239.]
 [111. 239.]
 [111. 261.]
 [ 90. 261.]]"
kie,"[[272. 239.]
 [309. 239.]
 [309. 260.]
 [272. 260.]]"
driver,"[[196. 240.]
 [269. 240.]
 [269. 261.]
 [196. 261.]]"
impact,"[[110. 241.]
 [193. 241.]
 [193. 265.]
 [110. 265.]]"
caold,"[[ 35. 265.]
 [104. 265.]
 [104. 282.]
 [ 35. 282.]]"
utle,"[[ 36.999996 285.99997 ]
 [ 87.999985 285.99997 ]
 [ 87.999985 300.99997 ]
 [ 36.999996 300.99997 ]]"
gio,"[[ 89. 288.]
 [127. 288.]
 [127. 302.]
 [ 89. 302.]]"
data,"[[ 36. 307.]
 [ 92. 307.]
 [ 92. 322.]
 [ 36. 322.]]"
saia,"[[ 93. 306.]
 [135. 306.]
 [135. 322.]
 [ 93. 322.]]"
