text,bbox
choice,"[[174.  22.]
 [298.  22.]
 [298.  53.]
 [174.  53.]]"
your,"[[ 74.  23.]
 [168.  23.]
 [168.  53.]
 [ 74.  53.]]"
sale,"[[ 57.  63.]
 [108.  63.]
 [108.  78.]
 [ 57.  78.]]"
20,"[[131.  64.]
 [198.  64.]
 [198.  95.]
 [131.  95.]]"
talonne,"[[198.  63.]
 [322.  63.]
 [322.  95.]
 [198.  95.]]"
s9o,"[[ 46.  77.]
 [118.  77.]
 [118.  98.]
 [ 46.  98.]]"
s1290,"[[ 80.265015 108.59999 ]
 [271.54993  112.12056 ]
 [270.4074   174.19768 ]
 [ 79.122505 170.67711 ]]"
devalr,"[[ 13. 194.]
 [118. 194.]
 [118. 216.]
 [ 13. 216.]]"
20,"[[128. 194.]
 [158. 194.]
 [158. 216.]
 [128. 216.]]"
voll,"[[161.99998 194.     ]
 [208.99998 194.     ]
 [208.99998 215.     ]
 [161.99998 215.     ]]"
max,"[[213. 194.]
 [274. 194.]
 [274. 216.]
 [213. 216.]]"
limhimmlon,"[[ 12. 217.]
 [149. 217.]
 [149. 239.]
 [ 12. 239.]]"
powar,"[[153.19244 218.51553]
 [227.45187 221.12112]
 [226.72208 241.92007]
 [152.46265 239.31448]]"
took,"[[229.60832 220.11559]
 [291.82837 218.47823]
 [292.36957 239.04292]
 [230.14952 240.68028]]"
co,"[[ 92. 245.]
 [152. 245.]
 [152. 261.]
 [ 92. 261.]]"
ss,"[[ 52.447727 254.43703 ]
 [ 88.97856  240.23059 ]
 [ 95.79089  257.74805 ]
 [ 59.26006  271.95447 ]]"
jie,"[[149. 246.]
 [183. 246.]
 [183. 260.]
 [149. 260.]]"
cired,"[[185.80157 246.29999]
 [262.90775 245.09521]
 [263.15573 260.96634]
 [186.04956 262.1711 ]]"
ov,"[[ 22. 265.]
 [ 55. 265.]
 [ 55. 282.]
 [ 22. 282.]]"
vun,"[[102.102234 265.5459  ]
 [146.44193  267.39337 ]
 [145.86655  281.20276 ]
 [101.526855 279.3553  ]]"
oe,"[[143. 266.]
 [176. 266.]
 [176. 281.]
 [143. 281.]]"
ted,"[[178. 266.]
 [217. 266.]
 [217. 282.]
 [178. 282.]]"
oe,"[[ 22. 284.]
 [ 50. 284.]
 [ 50. 301.]
 [ 22. 301.]]"
al,"[[ 72.695724 288.08862 ]
 [130.84048  285.8523  ]
 [131.4077   300.59973 ]
 [ 73.26294  302.83606 ]]"
bld,"[[136. 288.]
 [174. 288.]
 [174. 301.]
 [136. 301.]]"
