text,bbox
choice,"[[182.  31.]
 [314.  31.]
 [314.  61.]
 [182.  61.]]"
your,"[[ 80.  32.]
 [176.  32.]
 [176.  62.]
 [ 80.  62.]]"
ng,"[[ 52.  71.]
 [115.  71.]
 [115. 107.]
 [ 52. 107.]]"
ale,"[[ 73.  72.]
 [112.  72.]
 [112.  86.]
 [ 73.  86.]]"
enclustie,"[[203.  70.]
 [330.  70.]
 [330. 104.]
 [203. 104.]]"
10,"[[139.  73.]
 [205.  73.]
 [205. 103.]
 [139. 103.]]"
s2999,"[[ 98.17059 116.65671]
 [262.49432 119.12775]
 [261.51392 184.32352]
 [ 97.19019 181.85248]]"
blackodecker,"[[ 15. 206.]
 [211. 206.]
 [211. 230.]
 [ 15. 230.]]"
pover,"[[222. 207.]
 [298. 207.]
 [298. 229.]
 [222. 229.]]"
tools,"[[301. 207.]
 [365. 207.]
 [365. 229.]
 [301. 229.]]"
suead,"[[ 88.09592 232.25887]
 [160.35611 234.11168]
 [159.87189 252.99669]
 [ 87.61169 251.14388]]"
adeize,"[[ 14. 234.]
 [ 88. 234.]
 [ 88. 252.]
 [ 14. 252.]]"
zass,"[[162. 234.]
 [233. 234.]
 [233. 252.]
 [162. 252.]]"
swiw,"[[238. 235.]
 [306. 235.]
 [306. 251.]
 [238. 251.]]"
ume,"[[ 15. 255.]
 [ 56. 255.]
 [ 56. 273.]
 [ 15. 273.]]"
g,"[[ 56. 257.]
 [ 70. 257.]
 [ 70. 272.]
 [ 56. 272.]]"
cha,"[[129. 257.]
 [160. 257.]
 [160. 273.]
 [129. 273.]]"
cea,"[[ 70. 258.]
 [110. 258.]
 [110. 273.]
 [ 70. 273.]]"
o5,"[[110. 258.]
 [129. 258.]
 [129. 273.]
 [110. 273.]]"
pee,"[[162. 260.]
 [190. 260.]
 [190. 273.]
 [162. 273.]]"
lio,"[[ 14. 277.]
 [ 49. 277.]
 [ 49. 294.]
 [ 14. 294.]]"
oy,"[[ 50. 278.]
 [ 86. 278.]
 [ 86. 294.]
 [ 50. 294.]]"
d,"[[ 87.32684 280.22955]
 [120.88327 278.13226]
 [121.78989 292.63812]
 [ 88.23346 294.7354 ]]"
