text,bbox
your,"[[ 52.  23.]
 [146.  23.]
 [146.  53.]
 [ 52.  53.]]"
choice,"[[151.99998   22.999998]
 [283.99994   23.      ]
 [283.99994   52.999992]
 [151.99998   52.999992]]"
sabe,"[[126.  62.]
 [200.  62.]
 [200.  85.]
 [126.  85.]]"
2599,"[[ 70.092896  98.83278 ]
 [231.23615  100.06288 ]
 [230.74872  163.91411 ]
 [ 69.60547  162.684   ]]"
coeh,"[[179. 142.]
 [223. 142.]
 [223. 163.]
 [179. 163.]]"
led,"[[128.4745  187.1331 ]
 [179.81245 185.62315]
 [180.5255  209.8669 ]
 [129.18755 211.37685]]"
proln,"[[ 44. 187.]
 [127. 187.]
 [127. 211.]
 [ 44. 211.]]"
minred,"[[182. 187.]
 [261. 187.]
 [261. 211.]
 [182. 211.]]"
24,"[[102. 211.]
 [142. 211.]
 [142. 235.]
 [102. 235.]]"
pine,"[[ 44.668358 210.7569  ]
 [101.269226 215.34616 ]
 [ 99.33381  239.21628 ]
 [ 42.732944 234.62701 ]]"
wreath,"[[145.77211 213.04613]
 [231.89738 211.81578]
 [232.21999 234.3969 ]
 [146.09471 235.62724]]"
os,"[[234. 216.]
 [262. 216.]
 [262. 234.]
 [234. 234.]]"
garland,"[[ 67.766785 237.042   ]
 [163.91939  235.79327 ]
 [164.22243  259.127   ]
 [ 68.069824 260.37573 ]]"
smm,"[[149.55803 268.60223]
 [193.75139 266.27625]
 [194.4558  279.66022]
 [150.26244 281.9862 ]]"
sn,"[[196. 267.]
 [218. 267.]
 [218. 278.]
 [196. 278.]]"
