text,bbox
sale,"[[ 82.72335   43.060677]
 [154.88379   41.724373]
 [155.31335   64.92013 ]
 [ 83.1529    66.25643 ]]"
1765,"[[ 32.124496  78.808105]
 [176.23622   80.07225 ]
 [175.71956  138.97124 ]
 [ 31.607834 137.70709 ]]"
bende,"[[ 14. 152.]
 [111. 152.]
 [111. 197.]
 [ 14. 197.]]"
resve,"[[119. 153.]
 [207. 153.]
 [207. 172.]
 [119. 172.]]"
hardwrood,"[[ 84.81189 174.57547]
 [200.9166  173.15955]
 [201.19452 195.94885]
 [ 85.08981 197.36478]]"
pellets,"[[ 14.252892 195.89594 ]
 [ 99.6037   198.26678 ]
 [ 98.96608  221.22128 ]
 [ 13.61527  218.85043 ]]"
20,"[[101. 198.]
 [132. 198.]
 [132. 220.]
 [101. 220.]]"
lb,"[[133. 198.]
 [170. 198.]
 [170. 219.]
 [133. 219.]]"
dilie,"[[ 15. 223.]
 [ 82. 223.]
 [ 82. 242.]
 [ 15. 242.]]"
eee,"[[ 73.6101   244.13303 ]
 [121.899086 242.66971 ]
 [122.43853  260.47153 ]
 [ 74.14954  261.93484 ]]"
rarsald,"[[122. 243.]
 [222. 243.]
 [222. 261.]
 [122. 261.]]"
rly,"[[ 17.29306  243.70184 ]
 [ 72.85297  247.49002 ]
 [ 71.75476  263.59695 ]
 [ 16.194857 259.80878 ]]"
