text,bbox
siontyine,"[[127.        80.999985]
 [316.99997   80.999985]
 [316.99997  114.999985]
 [127.       114.999985]]"
99,"[[ 71.  88.]
 [105.  88.]
 [105. 109.]
 [ 71. 109.]]"
ga,"[[ 40.  89.]
 [ 75.  89.]
 [ 75. 109.]
 [ 40. 109.]]"
s8999,"[[ 86.10039 130.84808]
 [246.23608 132.0705 ]
 [245.76405 193.90659]
 [ 85.62836 192.68417]]"
soq,"[[  5. 216.]
 [ 73. 216.]
 [ 73. 240.]
 [  5. 240.]]"
propane,"[[ 76.162476 216.55711 ]
 [177.51993  219.58272 ]
 [176.7414   245.66396 ]
 [ 75.383934 242.63835 ]]"
turkey,"[[  5.382431 238.68985 ]
 [ 91.8527   243.93048 ]
 [ 90.34126  268.8692  ]
 [  3.870994 263.62857 ]]"
fyer,"[[ 92.54118 240.96466]
 [160.9059  246.22351]
 [159.16472 268.85883]
 [ 90.8     263.59998]]"
ltel,"[[  6.5846615 270.61667  ]
 [ 63.69329   268.3323   ]
 [ 64.36422   285.10544  ]
 [  7.2555904 287.3898   ]]"
nounil,"[[  6. 290.]
 [ 82. 290.]
 [ 82. 305.]
 [  6. 305.]]"
anc,"[[ 70. 313.]
 [137. 313.]
 [137. 328.]
 [ 70. 328.]]"
ce,"[[173. 314.]
 [200. 314.]
 [200. 326.]
 [173. 326.]]"
cils,"[[ 59. 331.]
 [105. 331.]
 [105. 350.]
 [ 59. 350.]]"
cl,"[[101. 332.]
 [150. 332.]
 [150. 349.]
 [101. 349.]]"
dpund,"[[ 20. 335.]
 [ 61. 335.]
 [ 61. 351.]
 [ 20. 351.]]"
