text,bbox
your,"[[ 41.  23.]
 [138.  23.]
 [138.  54.]
 [ 41.  54.]]"
choice,"[[143.  24.]
 [271.  24.]
 [271.  54.]
 [143.  54.]]"
sale,"[[ 93.71678  66.42333]
 [166.8926   65.09286]
 [167.308    87.93986]
 [ 94.13219  89.27033]]"
s519,"[[ 57.542755 100.2601  ]
 [173.85274  104.27078 ]
 [171.7696   164.6817  ]
 [ 55.45963  160.67102 ]]"
aca,"[[125. 142.]
 [167. 142.]
 [167. 162.]
 [125. 162.]]"
hand,"[[ 40. 181.]
 [105. 181.]
 [105. 205.]
 [ 40. 205.]]"
tools,"[[107. 182.]
 [172. 182.]
 [172. 206.]
 [107. 206.]]"
accessoncs,"[[195. 183.]
 [338. 183.]
 [338. 205.]
 [195. 205.]]"
ten,"[[ 93. 210.]
 [133. 210.]
 [133. 227.]
 [ 93. 227.]]"
a,"[[219. 210.]
 [240. 210.]
 [240. 226.]
 [219. 226.]]"
iar,"[[ 39. 210.]
 [ 91. 210.]
 [ 91. 227.]
 [ 39. 227.]]"
tolll,"[[238. 210.]
 [291. 210.]
 [291. 227.]
 [238. 227.]]"
aiont,"[[182. 230.]
 [255. 230.]
 [255. 247.]
 [182. 247.]]"
pdvin,"[[257. 230.]
 [328. 230.]
 [328. 247.]
 [257. 247.]]"
