text,bbox
s39g00,"[[ 74.08652   49.863342]
 [279.18268   51.035324]
 [278.8118   115.936066]
 [ 73.71565  114.764084]]"
mnine,"[[ 50. 136.]
 [181. 136.]
 [181. 158.]
 [ 50. 158.]]"
lnlle,"[[194. 136.]
 [244. 136.]
 [244. 159.]
 [194. 159.]]"
fuwtizil,"[[ 50.       159.99998 ]
 [119.999985 159.99998 ]
 [119.999985 182.99998 ]
 [ 50.       182.99998 ]]"
iihi,"[[126. 160.]
 [232. 160.]
 [232. 182.]
 [126. 182.]]"
oin,"[[228. 161.]
 [270. 161.]
 [270. 183.]
 [228. 183.]]"
brushless,"[[ 51.      183.99998]
 [171.99998 183.99998]
 [171.99998 208.99998]
 [ 51.      208.99998]]"
dill,"[[172. 185.]
 [226. 185.]
 [226. 209.]
 [172. 209.]]"
dei,"[[137. 209.]
 [179. 209.]
 [179. 233.]
 [137. 233.]]"
impuul,"[[ 51. 211.]
 [137. 211.]
 [137. 237.]
 [ 51. 237.]]"
uv,"[[175. 214.]
 [214. 214.]
 [214. 232.]
 [175. 232.]]"
conibo,"[[ 50. 233.]
 [135. 233.]
 [135. 254.]
 [ 50. 254.]]"
kit,"[[137. 234.]
 [176. 234.]
 [176. 254.]
 [137. 254.]]"
musilan,"[[ 50. 257.]
 [124. 257.]
 [124. 275.]
 [ 50. 275.]]"
udod,"[[123. 257.]
 [195. 257.]
 [195. 275.]
 [123. 275.]]"
