text,bbox
reg,"[[ 84.  40.]
 [131.  40.]
 [131.  61.]
 [ 84.  61.]]"
s999s,"[[133.99997   40.999992]
 [205.99997   40.999992]
 [205.99997   60.999992]
 [133.99997   60.999992]]"
sale,"[[120.  74.]
 [190.  74.]
 [190.  95.]
 [120.  95.]]"
8495,"[[ 50.17813  107.76816 ]
 [247.32663  110.073975]
 [246.63928  168.84372 ]
 [ 49.490776 166.5379  ]]"
coth,"[[200. 148.]
 [241. 148.]
 [241. 167.]
 [200. 167.]]"
prio,"[[137. 187.]
 [178. 187.]
 [178. 209.]
 [137. 209.]]"
760,"[[181. 187.]
 [224. 187.]
 [224. 209.]
 [181. 209.]]"
woop,"[[ 34.23439  186.5621  ]
 [127.41249  189.15039 ]
 [126.14494  234.78183 ]
 [ 32.966846 232.19354 ]]"
pelet,"[[105. 209.]
 [172. 209.]
 [172. 233.]
 [105. 233.]]"
gil,"[[173. 210.]
 [226. 210.]
 [226. 233.]
 [173. 233.]]"
coona,"[[ 34.120956 234.34766 ]
 [103.27989  235.6051  ]
 [102.94182  254.19894 ]
 [ 33.782883 252.9415  ]]"
csd,"[[105. 238.]
 [160. 238.]
 [160. 253.]
 [105. 253.]]"
contol,"[[227. 256.]
 [296. 256.]
 [296. 273.]
 [227. 273.]]"
ges,"[[ 64. 257.]
 [ 94. 257.]
 [ 94. 272.]
 [ 64. 272.]]"
bdeaa,"[[ 93. 257.]
 [141. 257.]
 [141. 272.]
 [ 93. 272.]]"
raen,"[[142. 257.]
 [188. 257.]
 [188. 273.]
 [142. 273.]]"
cts,"[[187. 257.]
 [228. 257.]
 [228. 273.]
 [187. 273.]]"
seet,"[[ 35. 258.]
 [ 67. 258.]
 [ 67. 272.]
 [ 35. 272.]]"
ddiond,"[[ 35.999996 276.99997 ]
 [ 99.999985 276.99997 ]
 [ 99.999985 293.99997 ]
 [ 35.999996 293.99997 ]]"
ee,"[[109.49829 276.76453]
 [142.45392 280.64166]
 [140.64505 296.0171 ]
 [107.68942 292.13995]]"
crt,"[[146. 277.]
 [182. 277.]
 [182. 293.]
 [146. 293.]]"
a,"[[181. 277.]
 [207. 277.]
 [207. 295.]
 [181. 295.]]"
enar,"[[209. 279.]
 [250. 279.]
 [250. 294.]
 [209. 294.]]"
a,"[[253. 279.]
 [288. 279.]
 [288. 294.]
 [253. 294.]]"
