text,bbox
your,"[[ 66.  38.]
 [161.  38.]
 [161.  68.]
 [ 66.  68.]]"
choice,"[[167.  38.]
 [298.  38.]
 [298.  68.]
 [167.  68.]]"
sale,"[[139.  80.]
 [212.  80.]
 [212. 103.]
 [139. 103.]]"
12900,"[[ 61.169006 115.71799 ]
 [260.38965  118.07562 ]
 [259.6183   183.25583 ]
 [ 60.39765  180.8982  ]]"
gal,"[[206. 198.]
 [252. 198.]
 [252. 222.]
 [206. 222.]]"
ollfrce,"[[255.10815 197.53778]
 [353.2904  198.96072]
 [352.93677 223.36139]
 [254.7545  221.93845]]"
crafean,"[[ 46.999992 199.      ]
 [169.99997  199.      ]
 [169.99997  221.      ]
 [ 46.999992 221.      ]]"
6,"[[186. 199.]
 [203. 199.]
 [203. 220.]
 [186. 220.]]"
panesle,"[[ 47. 223.]
 [148. 223.]
 [148. 245.]
 [ 47. 245.]]"
alr,"[[153. 223.]
 [192. 223.]
 [192. 246.]
 [153. 246.]]"
compter,"[[193.1904  222.5898 ]
 [336.45013 226.84505]
 [335.71292 251.66475]
 [192.45317 247.4095 ]]"
versastack,"[[ 78. 248.]
 [246. 248.]
 [246. 271.]
 [ 78. 271.]]"
220,"[[253. 248.]
 [297. 248.]
 [297. 271.]
 [253. 271.]]"
pa,"[[299.22525 248.36902]
 [337.76358 249.91058]
 [336.90738 271.31635]
 [298.36905 269.77478]]"
ox,"[[ 47. 253.]
 [ 74. 253.]
 [ 74. 270.]
 [ 47. 270.]]"
mcabanics,"[[ 47.047638 271.47452 ]
 [180.14981  272.62198 ]
 [179.956    295.10306 ]
 [ 46.85383  293.9556  ]]"
tool,"[[184. 272.]
 [239. 272.]
 [239. 296.]
 [184. 296.]]"
sct,"[[239. 272.]
 [281. 272.]
 [281. 296.]
 [239. 296.]]"
