text,bbox
sale,"[[ 74.69351   40.45012 ]
 [149.85294   39.05828 ]
 [150.27597   61.902298]
 [ 75.11655   63.294136]]"
s889,"[[ 44.44577  75.32974]
 [164.87207  79.25668]
 [162.80963 142.50465]
 [ 42.38333 138.57771]]"
cesh,"[[111. 120.]
 [156. 120.]
 [156. 140.]
 [111. 140.]]"
chefs,"[[ 22. 158.]
 [ 97. 158.]
 [ 97. 183.]
 [ 22. 183.]]"
bayou,"[[129.16179 159.47008]
 [201.53377 162.0548 ]
 [200.7707  183.4204 ]
 [128.39873 180.83568]]"
ox,"[[ 98. 162.]
 [125. 162.]
 [125. 181.]
 [ 98. 181.]]"
mix,"[[ 89.592575 181.50645 ]
 [145.5759   185.41225 ]
 [143.96126  208.5554  ]
 [ 87.97794  204.64961 ]]"
1t,"[[147. 183.]
 [174. 183.]
 [174. 206.]
 [147. 206.]]"
oz,"[[176. 183.]
 [214. 183.]
 [214. 205.]
 [176. 205.]]"
bine,"[[ 22.084167 183.70755 ]
 [ 87.353195 184.98734 ]
 [ 86.93736  206.19485 ]
 [ 21.668335 204.91507 ]]"
baue,"[[ 25. 211.]
 [ 93. 211.]
 [ 93. 227.]
 [ 25. 227.]]"
slotes,"[[ 93.99999 210.     ]
 [163.99997 210.     ]
 [163.99997 227.     ]
 [ 93.99999 227.     ]]"
