text,bbox
your,"[[ 72.  44.]
 [166.  44.]
 [166.  71.]
 [ 72.  71.]]"
choice,"[[171.  44.]
 [295.  44.]
 [295.  70.]
 [171.  70.]]"
sale,"[[131.  81.]
 [203.  81.]
 [203. 103.]
 [131. 103.]]"
sggg,"[[101.247345 115.488144]
 [216.72458  118.20528 ]
 [215.24939  180.89998 ]
 [ 99.77216  178.18285 ]]"
blades,"[[132.28041 190.83093]
 [214.92784 194.58762]
 [213.88249 217.58554]
 [131.23506 213.82886]]"
bil,"[[217. 193.]
 [252. 193.]
 [252. 214.]
 [217. 214.]]"
scle,"[[254. 193.]
 [304. 193.]
 [304. 215.]
 [254. 215.]]"
saw,"[[ 77. 194.]
 [129. 194.]
 [129. 215.]
 [ 77. 215.]]"
pry,"[[336.15927 192.33911]
 [380.71762 197.68613]
 [378.09146 219.57098]
 [333.5331  214.22397]]"
bar,"[[381. 194.]
 [424. 194.]
 [424. 214.]
 [381. 214.]]"
or,"[[307. 197.]
 [334. 197.]
 [334. 215.]
 [307. 215.]]"
orssce,"[[ 88.12579  216.7173  ]
 [282.27762  221.33998 ]
 [281.82776  240.23402 ]
 [ 87.675934 235.61134 ]]"
oinalio,"[[ 88. 239.]
 [172. 239.]
 [172. 256.]
 [ 88. 256.]]"
o,"[[334.20255 237.32867]
 [407.53757 239.94778]
 [406.87643 258.4599 ]
 [333.5414  255.84079]]"
s,"[[172. 241.]
 [195. 241.]
 [195. 256.]
 [172. 256.]]"
soe,"[[302. 241.]
 [338. 241.]
 [338. 257.]
 [302. 257.]]"
ollte,"[[ 88. 260.]
 [162. 260.]
 [162. 275.]
 [ 88. 275.]]"
pe,"[[173. 260.]
 [195. 260.]
 [195. 276.]
 [173. 276.]]"
cnor,"[[300.08072 260.65796]
 [345.33725 262.2185 ]
 [344.8444  276.51184]
 [299.58786 274.9513 ]]"
a,"[[345. 261.]
 [372. 261.]
 [372. 275.]
 [345. 275.]]"
