text,bbox
acd,"[[239.  48.]
 [273.  48.]
 [273.  66.]
 [239.  66.]]"
omonns,"[[274.  49.]
 [357.  49.]
 [357.  65.]
 [274.  65.]]"
salr,"[[ 92.  50.]
 [144.  50.]
 [144.  66.]
 [ 92.  66.]]"
520,"[[169.  49.]
 [238.  49.]
 [238.  82.]
 [169.  82.]]"
cokmrtie,"[[239.  62.]
 [364.  62.]
 [364.  83.]
 [239.  83.]]"
sota,"[[ 84.999985  64.99999 ]
 [144.99998   64.99999 ]
 [144.99998   84.99999 ]
 [ 84.999985  84.99999 ]]"
s79g9,"[[128.29636  97.56537]
 [290.63647 101.14639]
 [289.25864 163.60864]
 [126.91851 160.02762]]"
8,"[[146. 184.]
 [169. 184.]
 [169. 207.]
 [146. 207.]]"
1250,"[[233. 184.]
 [294. 184.]
 [294. 208.]
 [233. 208.]]"
womer,"[[ 46.07399  184.70816 ]
 [136.27133  186.26328 ]
 [135.88918  208.42911 ]
 [ 45.691826 206.874   ]]"
typs,"[[171.58199 183.59837]
 [239.11476 189.73772]
 [236.68034 216.5164 ]
 [169.14757 210.37706]]"
capacity,"[[ 84.74767  210.09334 ]
 [189.88843  208.52406 ]
 [190.32962  238.08464 ]
 [ 85.188866 239.65392 ]]"
lb,"[[ 44. 210.]
 [ 78. 210.]
 [ 78. 233.]
 [ 44. 233.]]"
fibeglss,"[[193.13193 209.3471 ]
 [320.30103 211.53967]
 [319.86093 237.06656]
 [192.69182 234.874  ]]"
stopladdey,"[[ 43.818848 234.05888 ]
 [173.90433  232.58063 ]
 [174.21692  260.08844 ]
 [ 44.13144  261.5667  ]]"
at,"[[ 48. 262.]
 [ 93. 262.]
 [ 93. 277.]
 [ 48. 277.]]"
mrapoi,"[[ 46. 283.]
 [140. 283.]
 [140. 296.]
 [ 46. 296.]]"
co,"[[137. 284.]
 [178. 284.]
 [178. 296.]
 [137. 296.]]"
