text,bbox
sale,"[[ 97.  57.]
 [170.  57.]
 [170.  80.]
 [ 97.  80.]]"
s89g,"[[ 41.091522  89.82776 ]
 [204.25522   91.05455 ]
 [203.76749  155.92307 ]
 [ 40.603783 154.69627 ]]"
perlect,"[[ 24. 176.]
 [113. 176.]
 [113. 200.]
 [ 24. 200.]]"
aire,"[[116. 177.]
 [167. 177.]
 [167. 200.]
 [116. 200.]]"
25,"[[ 25. 201.]
 [ 64. 201.]
 [ 64. 224.]
 [ 25. 224.]]"
oscillaing,"[[ 68.42885 197.56496]
 [198.9773  203.49895]
 [197.74638 230.57936]
 [ 67.19793 224.64537]]"
cemmic,"[[ 25. 226.]
 [126. 226.]
 [126. 251.]
 [ 25. 251.]]"
tovie,"[[129. 226.]
 [205. 226.]
 [205. 249.]
 [129. 249.]]"
voith,"[[109. 250.]
 [164. 250.]
 [164. 272.]
 [109. 272.]]"
hoator,"[[ 25.137306 250.6445  ]
 [105.443504 252.70364 ]
 [104.88569  274.4586  ]
 [ 24.579493 272.39944 ]]"
