text,bbox
choice,"[[149.   4.]
 [279.   4.]
 [279.  33.]
 [149.  33.]]"
your,"[[ 50.   5.]
 [142.   5.]
 [142.  34.]
 [ 50.  34.]]"
sale,"[[119.  46.]
 [193.  46.]
 [193.  69.]
 [119.  69.]]"
s4999,"[[ 65.35927   82.4314  ]
 [226.73485   86.15544 ]
 [225.26546  149.82921 ]
 [ 63.889874 146.10516 ]]"
ceeh,"[[174.56195 128.98244]
 [218.89365 127.59706]
 [219.46634 145.92293]
 [175.13464 147.3083 ]]"
santa,"[[ 57.401756 166.30412 ]
 [123.9422   170.29655 ]
 [122.59226  192.79555 ]
 [ 56.051815 188.80312 ]]"
or,"[[127. 171.]
 [154. 171.]
 [154. 189.]
 [127. 189.]]"
snommen,"[[ 57.169754 191.5678  ]
 [171.46439  195.13951 ]
 [170.79903  216.43123 ]
 [ 56.50439  212.85951 ]]"
ledyaxd,"[[ 57. 216.]
 [165. 216.]
 [165. 239.]
 [ 57. 239.]]"
ders,"[[ 58. 241.]
 [125. 241.]
 [125. 263.]
 [ 58. 263.]]"
lti,"[[ 88. 269.]
 [125. 269.]
 [125. 284.]
 [ 88. 284.]]"
cod,"[[129. 269.]
 [186. 269.]
 [186. 283.]
 [129. 283.]]"
