text,bbox
sale,"[[ 99.  46.]
 [172.  46.]
 [172.  68.]
 [ 99.  68.]]"
1299,"[[ 42.282166  81.646866]
 [196.43654   84.15344 ]
 [195.41586  146.92546 ]
 [ 41.261486 144.41888 ]]"
cash,"[[144. 126.]
 [189. 126.]
 [189. 145.]
 [144. 145.]]"
mini,"[[110. 167.]
 [168. 167.]
 [168. 191.]
 [110. 191.]]"
300,"[[ 25. 168.]
 [ 71. 168.]
 [ 71. 191.]
 [ 25. 191.]]"
cl,"[[ 71. 168.]
 [108. 168.]
 [108. 191.]
 [ 71. 191.]]"
light,"[[ 25. 193.]
 [ 90. 193.]
 [ 90. 219.]
 [ 25. 219.]]"
set,"[[ 93. 194.]
 [134. 194.]
 [134. 217.]
 [ 93. 217.]]"
cas,"[[ 24. 218.]
 [ 67. 218.]
 [ 67. 237.]
 [ 24. 237.]]"
macoe,"[[ 89.10918  220.30489 ]
 [175.24864  222.30812 ]
 [174.88539  237.92757 ]
 [ 88.745926 235.92433 ]]"
cx,"[[ 68. 223.]
 [ 87. 223.]
 [ 87. 237.]
 [ 68. 237.]]"
oanaen,"[[ 25. 240.]
 [ 98. 240.]
 [ 98. 258.]
 [ 25. 258.]]"
aaoe,"[[103. 242.]
 [164. 242.]
 [164. 257.]
 [103. 257.]]"
