text,bbox
your,"[[ 39.  33.]
 [135.  33.]
 [135.  64.]
 [ 39.  64.]]"
choice,"[[142.  33.]
 [272.  33.]
 [272.  63.]
 [142.  63.]]"
sale,"[[112.67468   76.083176]
 [184.87875   74.69464 ]
 [185.33789   98.57042 ]
 [113.13382   99.958954]]"
s2949,"[[ 55.345505 111.6792  ]
 [218.41342  114.095   ]
 [217.49928  175.79999 ]
 [ 54.431362 173.38419 ]]"
cae,"[[166. 152.]
 [211. 152.]
 [211. 172.]
 [166. 172.]]"
hand,"[[ 29.423973 192.71918 ]
 [ 95.71699  190.5094  ]
 [ 96.528305 214.84903 ]
 [ 30.23529  217.0588  ]]"
toals,"[[100. 192.]
 [167. 192.]
 [167. 216.]
 [100. 216.]]"
e,"[[167. 193.]
 [186. 193.]
 [186. 215.]
 [167. 215.]]"
accesscirs,"[[189. 193.]
 [332. 193.]
 [332. 215.]
 [189. 215.]]"
tintrl,"[[ 30. 220.]
 [102. 220.]
 [102. 236.]
 [ 30. 236.]]"
anood,"[[105. 219.]
 [176. 219.]
 [176. 238.]
 [105. 238.]]"
tel,"[[177. 219.]
 [251. 219.]
 [251. 238.]
 [177. 238.]]"
lid,"[[ 31.37931  261.4483  ]
 [ 64.8138   264.2345  ]
 [ 63.517242 279.7931  ]
 [ 30.082758 277.0069  ]]"
or,"[[ 66. 264.]
 [101. 264.]
 [101. 279.]
 [ 66. 279.]]"
