text,bbox
choice,"[[148.  25.]
 [275.  25.]
 [275.  55.]
 [148.  55.]]"
your,"[[ 44.  26.]
 [142.  26.]
 [142.  56.]
 [ 44.  56.]]"
sale,"[[119.  68.]
 [189.  68.]
 [189.  91.]
 [119.  91.]]"
s2499,"[[ 63.086655 104.82237 ]
 [222.23212  106.056046]
 [221.75249  167.9283  ]
 [ 62.607018 166.69463 ]]"
cads,"[[170. 148.]
 [215. 148.]
 [215. 167.]
 [170. 167.]]"
300,"[[ 43. 186.]
 [ 88. 186.]
 [ 88. 210.]
 [ 43. 210.]]"
cl,"[[ 90. 186.]
 [125. 186.]
 [125. 209.]
 [ 90. 209.]]"
led,"[[126. 186.]
 [175. 186.]
 [175. 209.]
 [126. 209.]]"
light,"[[ 42. 211.]
 [108. 211.]
 [108. 237.]
 [ 42. 237.]]"
sato,"[[110.19618 211.50702]
 [162.5223  213.37582]
 [161.75923 234.74142]
 [109.43312 232.87262]]"
hooles,"[[ 44. 239.]
 [115. 239.]
 [115. 255.]
 [ 44. 255.]]"
clies,"[[115. 241.]
 [199. 241.]
 [199. 255.]
 [115. 255.]]"
cee,"[[100. 264.]
 [123. 264.]
 [123. 274.]
 [100. 274.]]"
