text,bbox
your,"[[ 95.   7.]
 [191.   7.]
 [191.  38.]
 [ 95.  38.]]"
choice,"[[197.   7.]
 [328.   7.]
 [328.  37.]
 [197.  37.]]"
mpnoiitg,"[[220.87756   47.898342]
 [338.95135   46.79485 ]
 [339.0932    61.971096]
 [221.01941   63.07459 ]]"
sae,"[[ 75.  48.]
 [132.  48.]
 [132.  85.]
 [ 75.  85.]]"
s10,"[[153.  49.]
 [218.  49.]
 [218.  82.]
 [153.  82.]]"
toalusiwe,"[[219.  61.]
 [344.  61.]
 [344.  82.]
 [219.  82.]]"
ed,"[[ 66.  65.]
 [106.  65.]
 [106.  85.]
 [ 66.  85.]]"
s590,"[[113.42963   96.524185]
 [278.65802  100.16893 ]
 [277.23138  164.84334 ]
 [112.002975 161.1986  ]]"
craftoan,"[[ 30. 185.]
 [155. 185.]
 [155. 209.]
 [ 30. 209.]]"
tools,"[[248. 185.]
 [315. 185.]
 [315. 209.]
 [248. 209.]]"
porby,"[[168. 186.]
 [246. 186.]
 [246. 208.]
 [168. 208.]]"
seel,"[[163.05737 216.63116]
 [200.65573 213.21313]
 [201.9754  227.72952]
 [164.37704 231.14755]]"
stun,"[[201. 214.]
 [262. 214.]
 [262. 229.]
 [201. 229.]]"
o,"[[185. 236.]
 [204. 236.]
 [204. 251.]
 [185. 251.]]"
