text,bbox
70,"[[137.62476   30.255672]
 [203.89691   33.268032]
 [202.5134    63.705143]
 [136.24124   60.692783]]"
eess,"[[203.  32.]
 [324.  32.]
 [324.  63.]
 [203.  63.]]"
do,"[[ 96.  37.]
 [125.  37.]
 [125.  59.]
 [ 96.  59.]]"
gua,"[[52. 38.]
 [96. 38.]
 [96. 58.]
 [52. 58.]]"
s9g00,"[[ 94.35921  78.6517 ]
 [253.47536  81.09964]
 [252.54137 141.80833]
 [ 93.42522 139.3604 ]]"
mil,"[[ 19. 156.]
 [ 61. 156.]
 [ 61. 179.]
 [ 19. 179.]]"
waukcs,"[[ 55.664696 158.25204 ]
 [146.82996  156.0285  ]
 [147.34006  176.9429  ]
 [ 56.174797 179.16644 ]]"
lithiumlon,"[[ 78. 178.]
 [217. 178.]
 [217. 201.]
 [ 78. 201.]]"
miz,"[[ 19. 179.]
 [ 70. 179.]
 [ 70. 201.]
 [ 19. 201.]]"
dniver,"[[103. 203.]
 [177. 203.]
 [177. 225.]
 [103. 225.]]"
dimaiven,"[[ 17.217407 201.33316 ]
 [149.28351  205.63965 ]
 [147.7674   252.1337  ]
 [ 15.701297 247.82721 ]]"
combo,"[[ 18. 250.]
 [ 98. 250.]
 [ 98. 271.]
 [ 18. 271.]]"
ke,"[[101. 250.]
 [139. 250.]
 [139. 271.]
 [101. 271.]]"
edle,"[[ 36. 276.]
 [ 84. 276.]
 [ 84. 290.]
 [ 36. 290.]]"
