text,bbox
gare,"[[ 64.  41.]
 [116.  41.]
 [116.  59.]
 [ 64.  59.]]"
sjostone,"[[139.23785   40.275475]
 [315.41928   43.56858 ]
 [314.80685   76.33283 ]
 [138.62543   73.03973 ]]"
tao,"[[ 55.  56.]
 [127.  56.]
 [127.  79.]
 [ 55.  79.]]"
13900,"[[ 81.15149  88.73027]
 [271.29535  91.07771]
 [270.5503  151.42656]
 [ 80.40643 149.07912]]"
dewait,"[[ 21. 174.]
 [122. 174.]
 [122. 195.]
 [ 21. 195.]]"
20,"[[135. 174.]
 [165. 174.]
 [165. 195.]
 [135. 195.]]"
volt,"[[170. 174.]
 [217. 174.]
 [217. 195.]
 [170. 195.]]"
max,"[[220. 174.]
 [282. 174.]
 [282. 196.]
 [220. 196.]]"
litbiumion,"[[ 20. 196.]
 [157. 196.]
 [157. 218.]
 [ 20. 218.]]"
dillimpact,"[[162.04865 196.52228]
 [302.16254 198.04526]
 [301.89624 222.54236]
 [161.78236 221.01938]]"
drivor,"[[ 21. 221.]
 [100. 221.]
 [100. 243.]
 [ 21. 243.]]"
kit,"[[ 96. 221.]
 [135. 221.]
 [135. 244.]
 [ 96. 244.]]"
casco,"[[ 20. 245.]
 [ 88. 245.]
 [ 88. 263.]
 [ 20. 263.]]"
lrao,"[[ 21. 267.]
 [ 73. 267.]
 [ 73. 283.]
 [ 21. 283.]]"
cin,"[[ 74. 269.]
 [121. 269.]
 [121. 283.]
 [ 74. 283.]]"
