text,bbox
your,"[[ 32.  26.]
 [130.  26.]
 [130.  56.]
 [ 32.  56.]]"
choice,"[[136.  26.]
 [266.  26.]
 [266.  56.]
 [136.  56.]]"
sale,"[[107.  69.]
 [180.  69.]
 [180.  92.]
 [107.  92.]]"
s1499,"[[ 50.289078 104.54579 ]
 [205.60696  107.652145]
 [204.37306  169.34746 ]
 [ 49.055176 166.2411  ]]"
cach,"[[152.99998 147.99998]
 [197.99998 147.99998]
 [197.99998 166.99998]
 [152.99998 166.99998]]"
nonhen,"[[119.099365 182.04431 ]
 [229.27689  183.61826 ]
 [228.92145  208.4989  ]
 [118.74393  206.92496 ]]"
prelit,"[[ 32.698162 185.11526 ]
 [115.83278  183.30798 ]
 [116.3264   206.01465 ]
 [ 33.191784 207.82193 ]]"
pine,"[[ 33.227478 207.0857  ]
 [ 88.683914 209.21863 ]
 [ 87.80946  231.95422 ]
 [ 32.35303  229.82129 ]]"
garlandoy,"[[116. 208.]
 [241. 208.]
 [241. 231.]
 [116. 231.]]"
g,"[[ 91. 209.]
 [114. 209.]
 [114. 232.]
 [ 91. 232.]]"
2a,"[[ 33. 232.]
 [ 74. 232.]
 [ 74. 256.]
 [ 33. 256.]]"
vrenth,"[[ 75.78938 234.04524]
 [161.92722 232.83206]
 [162.24535 255.41911]
 [ 76.10751 256.6323 ]]"
ceno,"[[ 34.134415 260.50516 ]
 [ 94.42984  262.8242  ]
 [ 93.8006   279.1846  ]
 [ 33.50517  276.86557 ]]"
te,"[[134. 263.]
 [166. 263.]
 [166. 275.]
 [134. 275.]]"
oe,"[[ 95. 264.]
 [137. 264.]
 [137. 278.]
 [ 95. 278.]]"
