text,bbox
your,"[[ 34.  24.]
 [132.  24.]
 [132.  55.]
 [ 34.  55.]]"
choice,"[[138.  24.]
 [268.  24.]
 [268.  55.]
 [138.  55.]]"
sale,"[[108.  67.]
 [181.  67.]
 [181.  90.]
 [108.  90.]]"
1699,"[[ 58.19597  102.653915]
 [212.52216  105.10353 ]
 [211.52544  167.89723 ]
 [ 57.19924  165.44762 ]]"
sacs,"[[160. 147.]
 [205. 147.]
 [205. 166.]
 [160. 166.]]"
platin,"[[ 31. 187.]
 [103. 187.]
 [103. 210.]
 [ 31. 210.]]"
led,"[[144. 187.]
 [194. 187.]
 [194. 210.]
 [144. 210.]]"
wm,"[[100. 190.]
 [140. 190.]
 [140. 208.]
 [100. 208.]]"
tvinkling,"[[ 31.4711   207.01279 ]
 [155.8547   212.87994 ]
 [154.59238  239.64114 ]
 [ 30.208775 233.77399 ]]"
shimmex,"[[156. 211.]
 [268. 211.]
 [268. 236.]
 [156. 236.]]"
sphere,"[[ 31. 236.]
 [116. 236.]
 [116. 264.]
 [ 31. 264.]]"
