text,bbox
felt,"[[239.  37.]
 [287.  37.]
 [287.  61.]
 [239.  61.]]"
electic,"[[289.  37.]
 [384.  37.]
 [384.  61.]
 [289.  61.]]"
coloe,"[[386.        37.999992]
 [449.        37.999992]
 [449.        59.999992]
 [386.        59.999992]]"
sale,"[[105.  46.]
 [180.  46.]
 [180.  69.]
 [105.  69.]]"
caster,"[[240.  63.]
 [317.  63.]
 [317.  85.]
 [240.  85.]]"
led,"[[317.  63.]
 [369.  63.]
 [369.  85.]
 [317.  85.]]"
flood,"[[372.  63.]
 [441.  63.]
 [441.  86.]
 [372.  86.]]"
s39g,"[[ 52.115784  82.83295 ]
 [214.24374   84.07056 ]
 [213.75644  147.90652 ]
 [ 51.628483 146.66891 ]]"
light,"[[239.  87.]
 [304.  87.]
 [304. 116.]
 [239. 116.]]"
with,"[[306.  87.]
 [361.  87.]
 [361. 110.]
 [306. 110.]]"
ronote,"[[364.  88.]
 [456.  88.]
 [456. 109.]
 [364. 109.]]"
control,"[[240. 112.]
 [327. 112.]
 [327. 135.]
 [240. 135.]]"
tonlos,"[[239. 138.]
 [310. 138.]
 [310. 157.]
 [239. 157.]]"
fdwot,"[[239. 161.]
 [310. 161.]
 [310. 178.]
 [239. 178.]]"
dvr,"[[310. 161.]
 [347. 161.]
 [347. 178.]
 [310. 178.]]"
