text,bbox
salb,"[[ 80.  31.]
 [151.  31.]
 [151.  53.]
 [ 80.  53.]]"
s795,"[[ 45.20259   66.64267 ]
 [159.48334   68.51613 ]
 [158.53734  126.221924]
 [ 44.256584 124.348465]]"
caah,"[[109. 110.]
 [152. 110.]
 [152. 128.]
 [109. 128.]]"
resere,"[[132.17838 141.68727]
 [224.41617 143.93697]
 [223.87515 166.11888]
 [131.63736 163.86919]]"
taceex,"[[ 31. 144.]
 [120. 144.]
 [120. 167.]
 [ 31. 167.]]"
cnoily,"[[ 30.29972  162.50613 ]
 [109.684456 166.17004 ]
 [108.6939   187.63202 ]
 [ 29.309164 183.96811 ]]"
beorub,"[[113.693535 165.0636  ]
 [213.84879  163.13754 ]
 [214.26837  184.95639 ]
 [114.11312  186.88245 ]]"
swect,"[[ 59.167114 186.4877  ]
 [130.58768  189.1329  ]
 [129.77124  211.17673 ]
 [ 58.35068  208.53152 ]]"
apple,"[[133. 187.]
 [202. 187.]
 [202. 214.]
 [133. 214.]]"
ox,"[[ 30. 190.]
 [ 56. 190.]
 [ 56. 208.]
 [ 30. 208.]]"
bba,"[[ 30. 209.]
 [ 81. 209.]
 [ 81. 234.]
 [ 30. 234.]]"
sauce,"[[ 82. 210.]
 [152. 210.]
 [152. 230.]
 [ 82. 230.]]"
