text,bbox
your,"[[ 72.  49.]
 [169.  49.]
 [169.  80.]
 [ 72.  80.]]"
choice,"[[173.99998  49.     ]
 [303.99994  49.     ]
 [303.99994  80.     ]
 [173.99998  80.     ]]"
ecune,"[[196.  89.]
 [310.  89.]
 [310. 124.]
 [196. 124.]]"
daone,"[[232.11584  89.55567]
 [303.2113   91.06832]
 [302.85883 107.63529]
 [231.76337 106.12264]]"
510,"[[130.39314   89.23981 ]
 [197.56688   91.15906 ]
 [196.62804  124.017944]
 [129.4543   122.098694]]"
id,"[[ 48.  97.]
 [ 81.  97.]
 [ 81. 118.]
 [ 48. 118.]]"
00,"[[ 81.  97.]
 [111.  97.]
 [111. 119.]
 [ 81. 119.]]"
s6900,"[[ 85.27528 137.5208 ]
 [252.63503 141.21254]
 [251.21309 205.67381]
 [ 83.85335 201.98207]]"
ciaflaman,"[[104. 231.]
 [227. 231.]
 [227. 253.]
 [104. 253.]]"
pomne,"[[243.3035  231.14398]
 [319.81708 235.9261 ]
 [318.52914 256.5331 ]
 [242.01555 251.75099]]"
tools,"[[104. 255.]
 [172. 255.]
 [172. 279.]
 [104. 279.]]"
vac,"[[203.16988 256.4137 ]
 [250.58632 258.16986]
 [249.81783 278.9192 ]
 [202.40138 277.16302]]"
or,"[[172. 258.]
 [199. 258.]
 [199. 278.]
 [172. 278.]]"
