text,bbox
your,"[[ 56.  38.]
 [154.  38.]
 [154.  68.]
 [ 56.  68.]]"
choice,"[[159.  38.]
 [290.  38.]
 [290.  68.]
 [159.  68.]]"
sale,"[[129.63254  81.03599]
 [202.87128  79.10865]
 [203.41867  99.91004]
 [130.17993 101.83738]]"
s49g99,"[[ 74.20993 116.56581]
 [237.52939 119.11766]
 [236.55869 181.24312]
 [ 73.23922 178.69127]]"
oach,"[[186. 160.]
 [231. 160.]
 [231. 179.]
 [186. 179.]]"
inlatable,"[[ 79. 206.]
 [197. 206.]
 [197. 231.]
 [ 79. 231.]]"
8,"[[ 56. 207.]
 [ 81. 207.]
 [ 81. 229.]
 [ 56. 229.]]"
santa,"[[197. 207.]
 [267. 207.]
 [267. 230.]
 [197. 230.]]"
snown,"[[ 87.213104 232.60712 ]
 [175.54828  235.5516  ]
 [174.80798  257.76025 ]
 [ 86.47281  254.81577 ]]"
or,"[[ 57. 237.]
 [ 84. 237.]
 [ 84. 255.]
 [ 57. 255.]]"
dn,"[[172.36464 237.92816]
 [204.74861 236.22375]
 [205.67677 253.85913]
 [173.2928  255.56354]]"
onil,"[[ 56. 258.]
 [130. 258.]
 [130. 277.]
 [ 56. 277.]]"
coutes,"[[130. 258.]
 [202. 258.]
 [202. 276.]
 [130. 276.]]"
