text,bbox
your,"[[ 14.  32.]
 [111.  32.]
 [111.  62.]
 [ 14.  62.]]"
choice,"[[117.  32.]
 [249.  32.]
 [249.  62.]
 [117.  62.]]"
sale,"[[ 88.  71.]
 [161.  71.]
 [161.  94.]
 [ 88.  94.]]"
s9g9g,"[[ 30.35785  108.66701 ]
 [195.4986   111.095566]
 [194.5708   174.18486 ]
 [ 29.43005  171.7563  ]]"
oaeh,"[[144. 153.]
 [187. 153.]
 [187. 171.]
 [144. 171.]]"
v,"[[ 12. 197.]
 [ 39. 197.]
 [ 39. 222.]
 [ 12. 222.]]"
prolindied,"[[ 34.852737 198.03398 ]
 [171.95828  196.91017 ]
 [172.14922  220.20369 ]
 [ 35.04367  221.3275  ]]"
slm,"[[177. 197.]
 [234. 197.]
 [234. 219.]
 [177. 219.]]"
mmenrdi,"[[ 12.112747 221.2646  ]
 [149.36826  224.53261 ]
 [148.83286  247.01985 ]
 [ 11.577341 243.75185 ]]"
liliomd,"[[153. 226.]
 [207. 226.]
 [207. 244.]
 [153. 244.]]"
onunn,"[[ 13. 251.]
 [ 60. 251.]
 [ 60. 266.]
 [ 13. 266.]]"
nanald,"[[ 63. 251.]
 [105. 251.]
 [105. 265.]
 [ 63. 265.]]"
cmalu,"[[105. 252.]
 [182. 252.]
 [182. 266.]
 [105. 266.]]"
owoed,"[[ 12. 271.]
 [ 52. 271.]
 [ 52. 289.]
 [ 12. 289.]]"
aa,"[[ 49. 272.]
 [ 85. 272.]
 [ 85. 288.]
 [ 49. 288.]]"
nl,"[[ 85.77602 273.02496]
 [156.95045 271.57245]
 [157.27144 287.3006 ]
 [ 86.097   288.7531 ]]"
