text,bbox
choice,"[[198.  35.]
 [322.  35.]
 [322.  64.]
 [198.  64.]]"
your,"[[ 98.00001   35.999992]
 [192.        35.999992]
 [192.        64.99999 ]
 [ 98.00001   64.99999 ]]"
20,"[[179.  75.]
 [221.  75.]
 [221. 106.]
 [179. 106.]]"
ou,"[[224.  76.]
 [316.  76.]
 [316. 105.]
 [224. 105.]]"
ddo,"[[ 71.  81.]
 [139.  81.]
 [139. 101.]
 [ 71. 101.]]"
sggo0,"[[115.34357  120.66684 ]
 [274.49054  123.115234]
 [273.549    184.31613 ]
 [114.40205  181.86774 ]]"
volt,"[[185. 203.]
 [233. 203.]
 [233. 226.]
 [185. 226.]]"
max,"[[236. 203.]
 [298. 203.]
 [298. 226.]
 [236. 226.]]"
devialt,"[[ 37. 204.]
 [138. 204.]
 [138. 225.]
 [ 37. 225.]]"
20,"[[151. 204.]
 [181. 204.]
 [181. 225.]
 [151. 225.]]"
lithiumion,"[[ 36.      226.     ]
 [172.99997 226.     ]
 [172.99997 248.     ]
 [ 36.      248.     ]]"
power,"[[177.18306 226.59944]
 [252.4694  229.1515 ]
 [251.73369 250.85536]
 [176.44734 248.3033 ]]"
tools,"[[253. 227.]
 [318. 227.]
 [318. 248.]
 [253. 248.]]"
jobsite,"[[ 36. 250.]
 [121. 250.]
 [121. 273.]
 [ 36. 273.]]"
spoaker,"[[121. 251.]
 [217. 251.]
 [217. 274.]
 [121. 274.]]"
batteries,"[[247. 251.]
 [351. 251.]
 [351. 272.]
 [247. 272.]]"
oy,"[[218. 254.]
 [247. 254.]
 [247. 272.]
 [218. 272.]]"
co,"[[ 47. 274.]
 [ 72. 274.]
 [ 72. 290.]
 [ 47. 290.]]"
ota,"[[ 47. 295.]
 [ 82. 295.]
 [ 82. 310.]
 [ 47. 310.]]"
eli,"[[ 46.565918 313.84995 ]
 [ 80.168365 318.4321  ]
 [ 78.53754  330.3915  ]
 [ 44.935093 325.80936 ]]"
col,"[[110. 315.]
 [147. 315.]
 [147. 330.]
 [110. 330.]]"
